Model,TN,FP,FN,TP,p,AUC,Precision,Recall,F1,LinearTrans,Algorithm,Actual N,Actual P,Precision,Recall,F1,AUC
KBFC_Medium_Tomek_0_alpha_target_gamma_2_0_v2_Linear_Transform,144259,6512,21585,5036,0.577946334,0.715185847,0.436092826,0.18917396,0.263890623,1,KBFC,144259 & 6512,21585 & 5036,0.436 & Precision \cr,0.189 & Recall \cr,0.264 & F1 \cr,0.715 & AUC \cr
KBFC_Medium_Tomek_0_alpha_target_gamma_5_0_v2_Linear_Transform,144263,6508,21622,4999,0.537829512,0.71390386,0.434431212,0.18778408,0.26223356,1,KBFC,144263 & 6508,21622 & 4999,0.434 & Precision \cr,0.188 & Recall \cr,0.262 & F1 \cr,0.714 & AUC \cr
KBFC_Medium_Tomek_0_alpha_target_gamma_0_0_v1_Linear_Transform,144039,6732,21661,4960,0.689018751,0.712952547,0.424221686,0.186319071,0.258931466,1,KBFC,144039 & 6732,21661 & 4960,0.424 & Precision \cr,0.186 & Recall \cr,0.259 & F1 \cr,0.713 & AUC \cr
KBFC_Medium_Tomek_0_alpha_0_5_gamma_0_0_v1_Linear_Transform,144186,6585,21689,4932,0.537246147,0.713307764,0.428236516,0.18526727,0.258651245,1,KBFC,144186 & 6585,21689 & 4932,0.428 & Precision \cr,0.185 & Recall \cr,0.259 & F1 \cr,0.713 & AUC \cr
KBFC_Medium_Tomek_0_alpha_target_gamma_1_0_v1_Linear_Transform,144428,6343,21774,4847,0.61893023,0.711649422,0.433154598,0.182074302,0.256392083,1,KBFC,144428 & 6343,21774 & 4847,0.433 & Precision \cr,0.182 & Recall \cr,0.256 & F1 \cr,0.712 & AUC \cr
KBFC_Medium_Tomek_0_alpha_target_gamma_2_0_v1_Linear_Transform,144207,6564,21750,4871,0.574062869,0.71329641,0.425972887,0.182975846,0.256002763,1,KBFC,144207 & 6564,21750 & 4871,0.426 & Precision \cr,0.183 & Recall \cr,0.256 & F1 \cr,0.713 & AUC \cr
KBFC_Medium_Tomek_0_alpha_balanced_gamma_0_0_v1_Linear_Transform,144164,6607,21813,4808,0.866570797,0.711717872,0.421200172,0.180609293,0.252824722,1,KBFC,144164 & 6607,21813 & 4808,0.421 & Precision \cr,0.181 & Recall \cr,0.253 & F1 \cr,0.712 & AUC \cr
KBFC_Medium_Tomek_0_alpha_target_gamma_0_5_v1_Linear_Transform,144350,6421,21854,4767,0.652762275,0.712471355,0.426081512,0.179069156,0.252173849,1,KBFC,144350 & 6421,21854 & 4767,0.426 & Precision \cr,0.179 & Recall \cr,0.252 & F1 \cr,0.712 & AUC \cr
KBFC_Easy_Tomek_0_alpha_0_5_gamma_0_0_v2_Linear_Transform,148838,1933,25555,1066,0.522439113,0.661853596,0.355451805,0.040043575,0.071994753,1,KBFC,148838 & 1933,25555 & 1066,0.355 & Precision \cr,0.04 & Recall \cr,0.072 & F1 \cr,0.662 & AUC \cr
KBFC_Easy_Tomek_0_alpha_0_5_gamma_0_0_v1_Linear_Transform,148973,1798,25564,1057,0.545564748,0.663649233,0.370227658,0.039705496,0.071735865,1,KBFC,148973 & 1798,25564 & 1057,0.37 & Precision \cr,0.04 & Recall \cr,0.072 & F1 \cr,0.664 & AUC \cr
KBFC_Easy_Tomek_0_alpha_target_gamma_0_5_v1_Linear_Transform,149045,1726,25642,979,0.654611522,0.66370296,0.361922353,0.036775478,0.066783342,1,KBFC,149045 & 1726,25642 & 979,0.362 & Precision \cr,0.037 & Recall \cr,0.067 & F1 \cr,0.664 & AUC \cr
KBFC_Easy_Tomek_0_alpha_target_gamma_5_0_v1_Linear_Transform,148988,1783,25655,966,0.540099974,0.663640178,0.351400496,0.036287142,0.065798016,1,KBFC,148988 & 1783,25655 & 966,0.351 & Precision \cr,0.036 & Recall \cr,0.066 & F1 \cr,0.664 & AUC \cr
KBFC_Easy_Tomek_0_alpha_target_gamma_0_0_v2_Linear_Transform,149183,1588,25748,873,0.697935985,0.661351019,0.354733834,0.032793659,0.060054037,1,KBFC,149183 & 1588,25748 & 873,0.355 & Precision \cr,0.033 & Recall \cr,0.06 & F1 \cr,0.661 & AUC \cr
KBFC_Easy_Tomek_0_alpha_target_gamma_1_0_v2_Linear_Transform,149302,1469,25770,851,0.61793647,0.661618901,0.366810329,0.031967244,0.058826352,1,KBFC,149302 & 1469,25770 & 851,0.367 & Precision \cr,0.032 & Recall \cr,0.059 & F1 \cr,0.662 & AUC \cr
KBFC_Easy_Tomek_0_alpha_target_gamma_2_0_v1_Linear_Transform,149444,1327,25798,823,0.584762104,0.66398528,0.38279068,0.030915443,0.057227619,1,KBFC,149444 & 1327,25798 & 823,0.383 & Precision \cr,0.031 & Recall \cr,0.057 & F1 \cr,0.664 & AUC \cr
KBFC_Easy_Tomek_0_alpha_target_gamma_1_0_v1_Linear_Transform,149450,1321,25827,794,0.627175024,0.663668634,0.375413694,0.029826077,0.055278965,1,KBFC,149450 & 1321,25827 & 794,0.375 & Precision \cr,0.03 & Recall \cr,0.055 & F1 \cr,0.664 & AUC \cr
KBFC_Easy_Tomek_0_alpha_target_gamma_0_5_v2_Linear_Transform,149340,1431,25826,795,0.65804407,0.661288636,0.357142841,0.029863641,0.055135534,1,KBFC,149340 & 1431,25826 & 795,0.357 & Precision \cr,0.03 & Recall \cr,0.055 & F1 \cr,0.661 & AUC \cr
KBFC_Easy_Tomek_0_alpha_target_gamma_0_0_v1_Linear_Transform,149483,1288,25865,756,0.710716958,0.663310946,0.369862996,0.028398633,0.052764603,1,KBFC,149483 & 1288,25865 & 756,0.37 & Precision \cr,0.028 & Recall \cr,0.053 & F1 \cr,0.663 & AUC \cr
KBFC_Easy_Tomek_0_alpha_target_gamma_2_0_v2_Linear_Transform,149538,1233,25902,719,0.583036511,0.661552221,0.368340145,0.027008752,0.050344685,1,KBFC,149538 & 1233,25902 & 719,0.368 & Precision \cr,0.027 & Recall \cr,0.05 & F1 \cr,0.662 & AUC \cr
KBFC_Easy_Tomek_0_alpha_target_gamma_5_0_v2_Linear_Transform,149629,1142,25956,665,0.537840265,0.660975407,0.368013261,0.024980279,0.046802478,1,KBFC,149629 & 1142,25956 & 665,0.368 & Precision \cr,0.025 & Recall \cr,0.047 & F1 \cr,0.661 & AUC \cr
KBFC_Easy_Tomek_0_alpha_balanced_gamma_0_0_v1_Linear_Transform,150366,405,26374,247,0.892452029,0.663017607,0.378834298,0.009278389,0.018132218,1,KBFC,150366 & 405,26374 & 247,0.379 & Precision \cr,0.009 & Recall \cr,0.018 & F1 \cr,0.663 & AUC \cr
KBFC_Easy_Tomek_0_alpha_balanced_gamma_0_0_v2_Linear_Transform,150407,364,26416,205,0.895495172,0.661421126,0.360281132,0.007700687,0.015098253,1,KBFC,150407 & 364,26416 & 205,0.36 & Precision \cr,0.008 & Recall \cr,0.015 & F1 \cr,0.661 & AUC \cr
LRC_Hard_Tomek_2_v1_Linear_Transform,140887,9884,18895,7726,0.518066553,0.755173282,0.438727993,0.290222005,0.349358157,1,LRC_,140887 & 9884,18895 & 7726,0.439 & Precision \cr,0.29 & Recall \cr,0.349 & F1 \cr,0.755 & AUC \cr
LRC_Hard_Tomek_0_v1_Linear_Transform,140936,9835,18934,7687,0.488099437,0.755148242,0.438705625,0.288756996,0.348287614,1,LRC_,140936 & 9835,18934 & 7687,0.439 & Precision \cr,0.289 & Recall \cr,0.348 & F1 \cr,0.755 & AUC \cr
LRC_Hard_Tomek_1_v1_Linear_Transform,141105,9666,19017,7604,0.516349253,0.755176977,0.440301098,0.285639157,0.346505179,1,LRC_,141105 & 9666,19017 & 7604,0.44 & Precision \cr,0.286 & Recall \cr,0.347 & F1 \cr,0.755 & AUC \cr
LRC_Hard_Tomek_2_v2_Linear_Transform,140975,9796,19114,7507,0.521518373,0.752760059,0.433855398,0.281995417,0.341828134,1,LRC_,140975 & 9796,19114 & 7507,0.434 & Precision \cr,0.282 & Recall \cr,0.342 & F1 \cr,0.753 & AUC \cr
LRC_Hard_Tomek_0_v2_Linear_Transform,141073,9698,19161,7460,0.492403465,0.752653873,0.434782606,0.280229894,0.340813134,1,LRC_,141073 & 9698,19161 & 7460,0.435 & Precision \cr,0.28 & Recall \cr,0.341 & F1 \cr,0.753 & AUC \cr
LRC_Hard_Tomek_1_v2_Linear_Transform,141211,9560,19244,7377,0.519814946,0.752742065,0.435555291,0.277112054,0.33873128,1,LRC_,141211 & 9560,19244 & 7377,0.436 & Precision \cr,0.277 & Recall \cr,0.339 & F1 \cr,0.753 & AUC \cr
LRC_Medium_Tomek_0_v2_Linear_Transform,144132,6639,21735,4886,0.491975899,0.705309632,0.423947936,0.183539311,0.256185214,1,LRC_,144132 & 6639,21735 & 4886,0.424 & Precision \cr,0.184 & Recall \cr,0.256 & F1 \cr,0.705 & AUC \cr
LRC_Medium_Tomek_0_v1_Linear_Transform,144361,6410,22079,4542,0.49935321,0.701345896,0.414718769,0.170617182,0.241781094,1,LRC_,144361 & 6410,22079 & 4542,0.415 & Precision \cr,0.171 & Recall \cr,0.242 & F1 \cr,0.701 & AUC \cr
LRC_Easy_Tomek_0_v1_Linear_Transform,149849,922,26117,504,0.540319039,0.659524177,0.35343616,0.018932422,0.035957742,1,LRC_,149849 & 922,26117 & 504,0.353 & Precision \cr,0.019 & Recall \cr,0.036 & F1 \cr,0.66 & AUC \cr
LRC_Easy_Tomek_0_v2_Linear_Transform,150347,424,26351,270,0.561975437,0.657595387,0.389048935,0.010142369,0.019788367,1,LRC_,150347 & 424,26351 & 270,0.389 & Precision \cr,0.01 & Recall \cr,0.02 & F1 \cr,0.658 & AUC \cr
RUSBoost_Hard_Tomek_1_v1_Linear_Transform,141592,9179,19348,7273,0.500446784,0.754771765,0.442073909,0.273205364,0.337716312,1,RUSB,141592 & 9179,19348 & 7273,0.442 & Precision \cr,0.273 & Recall \cr,0.338 & F1 \cr,0.755 & AUC \cr
RUSBoost_Hard_Tomek_2_v1_Linear_Transform,141867,8904,19511,7110,0.500454419,0.75499801,0.443986509,0.267082379,0.333539409,1,RUSB,141867 & 8904,19511 & 7110,0.444 & Precision \cr,0.267 & Recall \cr,0.334 & F1 \cr,0.755 & AUC \cr
RUSBoost_Hard_Tomek_0_v1_Linear_Transform,141682,9089,19496,7125,0.500439736,0.754715699,0.439435053,0.267645844,0.33268247,1,RUSB,141682 & 9089,19496 & 7125,0.439 & Precision \cr,0.268 & Recall \cr,0.333 & F1 \cr,0.755 & AUC \cr
RUSBoost_Hard_Tomek_1_v2_Linear_Transform,142493,8278,19982,6639,0.500464971,0.752628015,0.445062677,0.24938958,0.3196699,1,RUSB,142493 & 8278,19982 & 6639,0.445 & Precision \cr,0.249 & Recall \cr,0.32 & F1 \cr,0.753 & AUC \cr
RUSBoost_Hard_Tomek_2_v2_Linear_Transform,142495,8276,20005,6616,0.500469013,0.752631737,0.444265374,0.2485256,0.318754324,1,RUSB,142495 & 8276,20005 & 6616,0.444 & Precision \cr,0.249 & Recall \cr,0.319 & F1 \cr,0.753 & AUC \cr
RUSBoost_Hard_Tomek_0_v2_Linear_Transform,142586,8185,20056,6559,0.500451968,0.751845459,0.444858923,0.246439977,0.317184836,1,RUSB,142586 & 8185,20056 & 6559,0.445 & Precision \cr,0.246 & Recall \cr,0.317 & F1 \cr,0.752 & AUC \cr
RUSBoost_Medium_Tomek_0_v2_Linear_Transform,144616,6155,22022,4599,0.500438213,0.705219372,0.427654822,0.172758349,0.246112136,1,RUSB,144616 & 6155,22022 & 4599,0.428 & Precision \cr,0.173 & Recall \cr,0.246 & F1 \cr,0.705 & AUC \cr
RUSBoost_Medium_Tomek_0_v1_Linear_Transform,144746,6025,22298,4323,0.50044223,0.701316297,0.417761882,0.162390594,0.233883559,1,RUSB,144746 & 6025,22298 & 4323,0.418 & Precision \cr,0.162 & Recall \cr,0.234 & F1 \cr,0.701 & AUC \cr
RUSBoost_Easy_Tomek_0_v1_Linear_Transform,149935,836,26154,467,0.500476894,0.659446771,0.358403656,0.017542542,0.03346615,1,RUSB,149935 & 836,26154 & 467,0.358 & Precision \cr,0.018 & Recall \cr,0.033 & F1 \cr,0.659 & AUC \cr
RUSBoost_Easy_Tomek_0_v2_Linear_Transform,150472,299,26428,193,0.500507183,0.657459256,0.392276343,0.007249915,0.014256,1,RUSB,150472 & 299,26428 & 193,0.392 & Precision \cr,0.007 & Recall \cr,0.014 & F1 \cr,0.657 & AUC \cr
AdaBoost_Hard_Tomek_2_v1,147618,3153,23303,3318,0.49858116,0.754169065,0.512749181,0.124638443,0.200545558,0,AdaB,147618 & 3153,23303 & 3318,0.513 & Precision \cr,0.125 & Recall \cr,0.201 & F1 \cr,0.754 & AUC \cr
AdaBoost_Hard_Tomek_2_v2,147572,3199,23363,3258,0.498701698,0.751708884,0.504568677,0.122384584,0.197002651,0,AdaB,147572 & 3199,23363 & 3258,0.505 & Precision \cr,0.122 & Recall \cr,0.197 & F1 \cr,0.752 & AUC \cr
AdaBoost_Hard_Tomek_1_v1,147836,2935,23461,3160,0.498534033,0.754314902,0.518457744,0.118703279,0.193191586,0,AdaB,147836 & 2935,23461 & 3160,0.518 & Precision \cr,0.119 & Recall \cr,0.193 & F1 \cr,0.754 & AUC \cr
AdaBoost_Hard_Tomek_1_v2,147698,3073,23483,3138,0.498652638,0.751655269,0.505232644,0.117876864,0.191168835,0,AdaB,147698 & 3073,23483 & 3138,0.505 & Precision \cr,0.118 & Recall \cr,0.191 & F1 \cr,0.752 & AUC \cr
AdaBoost_Hard_Tomek_0_v1,148522,2249,24009,2612,0.498356753,0.754041889,0.537337985,0.098118027,0.165950867,0,AdaB,148522 & 2249,24009 & 2612,0.537 & Precision \cr,0.098 & Recall \cr,0.166 & F1 \cr,0.754 & AUC \cr
AdaBoost_Hard_Tomek_0_v2,148540,2231,24116,2505,0.498337484,0.751783858,0.528927354,0.094098644,0.159787808,0,AdaB,148540 & 2231,24116 & 2505,0.529 & Precision \cr,0.094 & Recall \cr,0.16 & F1 \cr,0.752 & AUC \cr
AdaBoost_Medium_Tomek_0_v1,149596,1175,25440,1181,0.498320799,0.701328369,0.501273323,0.044363472,0.081529936,0,AdaB,149596 & 1175,25440 & 1181,0.501 & Precision \cr,0.044 & Recall \cr,0.082 & F1 \cr,0.701 & AUC \cr
AdaBoost_Medium_Tomek_0_v2,149663,1108,25463,1158,0.498211803,0.705260366,0.511032634,0.043499493,0.080191581,0,AdaB,149663 & 1108,25463 & 1158,0.511 & Precision \cr,0.043 & Recall \cr,0.08 & F1 \cr,0.705 & AUC \cr
AdaBoost_Easy_Tomek_0_v1,150771,0,26621,0,0.498769088,0.659492001,0,0,0.00001,0,AdaB,150771 & 0,26621 & 0,0 & Precision \cr,0 & Recall \cr,0 & F1 \cr,0.659 & AUC \cr
AdaBoost_Easy_Tomek_0_v2,150771,0,26621,0,0.499002006,0.657553915,0,0,0.00001,0,AdaB,150771 & 0,26621 & 0,0 & Precision \cr,0 & Recall \cr,0 & F1 \cr,0.658 & AUC \cr
Awful,288,312,40,60,0.5,0.5624,0.161290279,0.6,0.254250555,0,Awfu,288 & 312,40 & 60,0.161 & Precision \cr,0.6 & Recall \cr,0.254 & F1 \cr,0.562 & AUC \cr
Bagging_Hard_Tomek_2_v1,124656,26115,11870,14751,0.72,0.765499546,0.360960211,0.554111416,0.437161304,0,Bagg,124656 & 26115,11870 & 14751,0.361 & Precision \cr,0.554 & Recall \cr,0.437 & F1 \cr,0.765 & AUC \cr
Bagging_Hard_Tomek_0_v1,125732,25039,12195,14426,0.7,0.765445013,0.365539084,0.541903009,0.436593012,0,Bagg,125732 & 25039,12195 & 14426,0.366 & Precision \cr,0.542 & Recall \cr,0.437 & F1 \cr,0.765 & AUC \cr
Bagging_Hard_Tomek_1_v1,124860,25911,12012,14609,0.72,0.766477887,0.360538005,0.548777281,0.435184167,0,Bagg,124860 & 25911,12012 & 14609,0.361 & Precision \cr,0.549 & Recall \cr,0.435 & F1 \cr,0.766 & AUC \cr
Bagging_Hard_Tomek_2_v2,124426,26345,11967,14654,0.72,0.763448318,0.357423351,0.550467676,0.433432516,0,Bagg,124426 & 26345,11967 & 14654,0.357 & Precision \cr,0.55 & Recall \cr,0.433 & F1 \cr,0.763 & AUC \cr
Bagging_Hard_Tomek_1_v2,124809,25962,12074,14547,0.72,0.76298381,0.359105383,0.546448293,0.433408312,0,Bagg,124809 & 25962,12074 & 14547,0.359 & Precision \cr,0.546 & Recall \cr,0.433 & F1 \cr,0.763 & AUC \cr
Bagging_Hard_Tomek_0_v2,125808,24963,12424,14197,0.71,0.760739556,0.362538303,0.533300778,0.431654758,0,Bagg,125808 & 24963,12424 & 14197,0.363 & Precision \cr,0.533 & Recall \cr,0.432 & F1 \cr,0.761 & AUC \cr
Bagging_Medium_Tomek_0_v2,118616,32155,13902,12719,0.81,0.691822177,0.28343807,0.477780699,0.355811756,0,Bagg,118616 & 32155,13902 & 12719,0.283 & Precision \cr,0.478 & Recall \cr,0.356 & F1 \cr,0.692 & AUC \cr
Bagging_Medium_Tomek_0_v1,118347,32424,14008,12613,0.82,0.690315324,0.280058618,0.473798881,0.352043929,0,Bagg,118347 & 32424,14008 & 12613,0.28 & Precision \cr,0.474 & Recall \cr,0.352 & F1 \cr,0.69 & AUC \cr
Bagging_Easy_Tomek_0_v1,96448,54323,10917,15704,0.88,0.656980635,0.224256358,0.589910221,0.324985115,0,Bagg,96448 & 54323,10917 & 15704,0.224 & Precision \cr,0.59 & Recall \cr,0.325 & F1 \cr,0.657 & AUC \cr
Bagging_Easy_Tomek_0_v2,96199,54572,10990,15631,0.87,0.654797876,0.222654302,0.587168025,0.32288652,0,Bagg,96199 & 54572,10990 & 15631,0.223 & Precision \cr,0.587 & Recall \cr,0.323 & F1 \cr,0.655 & AUC \cr
BRFC_Hard_Tomek_0_v1,111987,38784,7840,18781,0.688,0.79966678,0.326257274,0.705495661,0.44619005,0,BRFC,111987 & 38784,7840 & 18781,0.326 & Precision \cr,0.705 & Recall \cr,0.446 & F1 \cr,0.8 & AUC \cr
BRFC_Hard_Tomek_1_v1,111383,39388,7711,18910,0.7045,0.799603237,0.324367902,0.71034146,0.445376975,0,BRFC,111383 & 39388,7711 & 18910,0.324 & Precision \cr,0.71 & Recall \cr,0.445 & F1 \cr,0.8 & AUC \cr
BRFC_Hard_Tomek_2_v1,111108,39663,7688,18933,0.7045,0.799399795,0.323110792,0.711205439,0.444359366,0,BRFC,111108 & 39663,7688 & 18933,0.323 & Precision \cr,0.711 & Recall \cr,0.444 & F1 \cr,0.799 & AUC \cr
BRFC_Hard_Tomek_0_v2,111808,38963,7950,18671,0.695,0.797305512,0.32395808,0.701363585,0.443213538,0,BRFC,111808 & 38963,7950 & 18671,0.324 & Precision \cr,0.701 & Recall \cr,0.443 & F1 \cr,0.797 & AUC \cr
BRFC_Hard_Tomek_1_v2,111226,39545,7808,18813,0.7045,0.798052515,0.322372253,0.70669772,0.442779608,0,BRFC,111226 & 39545,7808 & 18813,0.322 & Precision \cr,0.707 & Recall \cr,0.443 & F1 \cr,0.798 & AUC \cr
BRFC_Hard_Tomek_2_v2,111019,39752,7799,18822,0.7045,0.7968566,0.321337111,0.707035799,0.441868323,0,BRFC,111019 & 39752,7799 & 18822,0.321 & Precision \cr,0.707 & Recall \cr,0.442 & F1 \cr,0.797 & AUC \cr
BRFC_Medium_Tomek_0_v2,103002,47769,9233,17388,0.763471429,0.728672987,0.266863115,0.653168551,0.378926099,0,BRFC,103002 & 47769,9233 & 17388,0.267 & Precision \cr,0.653 & Recall \cr,0.379 & F1 \cr,0.729 & AUC \cr
BRFC_Medium_Tomek_0_v1,102748,48023,9354,17267,0.77276,0.725535262,0.264466227,0.648623267,0.375744816,0,BRFC,102748 & 48023,9354 & 17267,0.264 & Precision \cr,0.649 & Recall \cr,0.376 & F1 \cr,0.726 & AUC \cr
BRFC_Easy_Tomek_0_v1,57788,92983,5009,21612,0.913632353,0.662689118,0.188594616,0.811840276,0.306098177,0,BRFC,57788 & 92983,5009 & 21612,0.189 & Precision \cr,0.812 & Recall \cr,0.306 & F1 \cr,0.663 & AUC \cr
BRFC_Easy_Tomek_0_v2,57653,93118,5052,21569,0.912343446,0.660328203,0.188068395,0.81022501,0.305290301,0,BRFC,57653 & 93118,5052 & 21569,0.188 & Precision \cr,0.81 & Recall \cr,0.305 & F1 \cr,0.66 & AUC \cr
EEC_Hard_Tomek_2_v1,102086,48685,8834,17787,0.528829837,0.732905838,0.267586352,0.668156718,0.382145827,0,EEC_,102086 & 48685,8834 & 17787,0.268 & Precision \cr,0.668 & Recall \cr,0.382 & F1 \cr,0.733 & AUC \cr
EEC_Hard_Tomek_1_v1,101835,48936,8782,17839,0.528756378,0.732926115,0.267150879,0.670110063,0.382019643,0,EEC_,101835 & 48936,8782 & 17839,0.267 & Precision \cr,0.67 & Recall \cr,0.382 & F1 \cr,0.733 & AUC \cr
EEC_Hard_Tomek_0_v1,101001,49770,8639,17982,0.526154123,0.732863675,0.265409139,0.675481763,0.381095472,0,EEC_,101001 & 49770,8639 & 17982,0.265 & Precision \cr,0.675 & Recall \cr,0.381 & F1 \cr,0.733 & AUC \cr
EEC_Hard_Tomek_0_v2,101355,49416,8870,17751,0.529093485,0.730159986,0.264281566,0.666804403,0.378546436,0,EEC_,101355 & 49416,8870 & 17751,0.264 & Precision \cr,0.667 & Recall \cr,0.379 & F1 \cr,0.73 & AUC \cr
EEC_Hard_Tomek_2_v2,99612,51159,8555,18066,0.530709128,0.730055976,0.260975081,0.678637166,0.376991714,0,EEC_,99612 & 51159,8555 & 18066,0.261 & Precision \cr,0.679 & Recall \cr,0.377 & F1 \cr,0.73 & AUC \cr
EEC_Hard_Tomek_1_v2,99257,51514,8503,18118,0.530080222,0.7306824,0.260196461,0.680590511,0.376478184,0,EEC_,99257 & 51514,8503 & 18118,0.26 & Precision \cr,0.681 & Recall \cr,0.376 & F1 \cr,0.731 & AUC \cr
EEC_Medium_Tomek_0_v2,102422,48349,10827,15794,0.52510065,0.691684783,0.246231077,0.593291011,0.348035154,0,EEC_,102422 & 48349,10827 & 15794,0.246 & Precision \cr,0.593 & Recall \cr,0.348 & F1 \cr,0.692 & AUC \cr
EEC_Medium_Tomek_0_v1,101579,49192,10740,15881,0.526969209,0.688566896,0.244048991,0.596559107,0.346403016,0,EEC_,101579 & 49192,10740 & 15881,0.244 & Precision \cr,0.597 & Recall \cr,0.346 & F1 \cr,0.689 & AUC \cr
EEC_Easy_Tomek_0_v1,87662,63109,9476,17145,0.531877206,0.657186687,0.213634211,0.644040419,0.320854623,0,EEC_,87662 & 63109,9476 & 17145,0.214 & Precision \cr,0.644 & Recall \cr,0.321 & F1 \cr,0.657 & AUC \cr
EEC_Easy_Tomek_0_v2,88523,62248,9684,16937,0.532335092,0.654924067,0.21389152,0.636227039,0.320164444,0,EEC_,88523 & 62248,9684 & 16937,0.214 & Precision \cr,0.636 & Recall \cr,0.32 & F1 \cr,0.655 & AUC \cr
Ideal_Shift_to_FP_equals_r_TP,136348,14423,12017,14604,0.5,0.839808121,0.503117785,0.548589459,0.524880633,0,Idea,136348 & 14423,12017 & 14604,0.503 & Precision \cr,0.549 & Recall \cr,0.525 & F1 \cr,0.84 & AUC \cr
Ideal,117929,32842,5928,20693,0.5,0.839808121,0.386532174,0.777318658,0.516329306,0,Idea,117929 & 32842,5928 & 20693,0.387 & Precision \cr,0.777 & Recall \cr,0.516 & F1 \cr,0.84 & AUC \cr
Ideal_Tight,117929,32842,5928,20693,0.5,0.839808121,0.386532174,0.777318658,0.516329306,0,Idea,117929 & 32842,5928 & 20693,0.387 & Precision \cr,0.777 & Recall \cr,0.516 & F1 \cr,0.84 & AUC \cr
Ideal_Left_Shifted,117616,33155,5853,20768,0.5,0.839808121,0.385141776,0.780135983,0.515704434,0,Idea,117616 & 33155,5853 & 20768,0.385 & Precision \cr,0.78 & Recall \cr,0.516 & F1 \cr,0.84 & AUC \cr
Ideal_Right_Shifted,117616,33155,5853,20768,0.5,0.839808121,0.385141776,0.780135983,0.515704434,0,Idea,117616 & 33155,5853 & 20768,0.385 & Precision \cr,0.78 & Recall \cr,0.516 & F1 \cr,0.84 & AUC \cr
Ideal_Right,0,150771,0,26621,0.5,0.839808121,0.150068774,1,0.260989027,0,Idea,0 & 150771,0 & 26621,0.15 & Precision \cr,1 & Recall \cr,0.261 & F1 \cr,0.84 & AUC \cr
Ideal_Left,150771,0,26621,0,0.5,0.839808121,0,0,0.00001,0,Idea,150771 & 0,26621 & 0,0 & Precision \cr,0 & Recall \cr,0 & F1 \cr,0.84 & AUC \cr
KBFC_Hard_Tomek_1_alpha_target_gamma_5_0_v1,121268,29503,11160,15461,0.541670735,0.774462671,0.343852859,0.580782089,0.431972659,0,KBFC,121268 & 29503,11160 & 15461,0.344 & Precision \cr,0.581 & Recall \cr,0.432 & F1 \cr,0.774 & AUC \cr
KBFC_Hard_Tomek_0_alpha_target_gamma_0_5_v2,118728,32043,10471,16150,0.664262637,0.775536575,0.335110908,0.606663912,0.431748206,0,KBFC,118728 & 32043,10471 & 16150,0.335 & Precision \cr,0.607 & Recall \cr,0.432 & F1 \cr,0.776 & AUC \cr
KBFC_Hard_Tomek_1_alpha_target_gamma_0_5_v1,119271,31500,10682,15939,0.663251871,0.776059027,0.335989375,0.598737839,0.430445572,0,KBFC,119271 & 31500,10682 & 15939,0.336 & Precision \cr,0.599 & Recall \cr,0.43 & F1 \cr,0.776 & AUC \cr
KBFC_Hard_Tomek_1_alpha_target_gamma_0_0_v1,118755,32016,10545,16076,0.714736633,0.775798823,0.33427597,0.603884152,0.430350927,0,KBFC,118755 & 32016,10545 & 16076,0.334 & Precision \cr,0.604 & Recall \cr,0.43 & F1 \cr,0.776 & AUC \cr
KBFC_Hard_Tomek_1_alpha_target_gamma_1_0_v1,118019,32752,10361,16260,0.630824031,0.775145702,0.331755488,0.610795988,0.42998192,0,KBFC,118019 & 32752,10361 & 16260,0.332 & Precision \cr,0.611 & Recall \cr,0.43 & F1 \cr,0.775 & AUC \cr
KBFC_Hard_Tomek_2_alpha_target_gamma_0_0_v2,118776,31995,10572,16049,0.719951729,0.774025202,0.334047955,0.602869915,0.429904347,0,KBFC,118776 & 31995,10572 & 16049,0.334 & Precision \cr,0.603 & Recall \cr,0.43 & F1 \cr,0.774 & AUC \cr
KBFC_Hard_Tomek_1_alpha_target_gamma_5_0_v2,119864,30907,10889,15732,0.544747226,0.772715722,0.337314264,0.590962022,0.429494776,0,KBFC,119864 & 30907,10889 & 15732,0.337 & Precision \cr,0.591 & Recall \cr,0.429 & F1 \cr,0.773 & AUC \cr
KBFC_Hard_Tomek_0_alpha_target_gamma_1_0_v2,117270,33501,10186,16435,0.63283914,0.774781085,0.329121275,0.617369746,0.429364219,0,KBFC,117270 & 33501,10186 & 16435,0.329 & Precision \cr,0.617 & Recall \cr,0.429 & F1 \cr,0.775 & AUC \cr
KBFC_Hard_Tomek_1_alpha_target_gamma_2_0_v1,120173,30598,10981,15640,0.585755442,0.773006923,0.338249924,0.587506104,0.429333114,0,KBFC,120173 & 30598,10981 & 15640,0.338 & Precision \cr,0.588 & Recall \cr,0.429 & F1 \cr,0.773 & AUC \cr
KBFC_Hard_Tomek_0_alpha_target_gamma_1_0_v1,118824,31947,10618,16003,0.614583779,0.775292309,0.333743482,0.601141956,0.429212518,0,KBFC,118824 & 31947,10618 & 16003,0.334 & Precision \cr,0.601 & Recall \cr,0.429 & F1 \cr,0.775 & AUC \cr
KBFC_Hard_Tomek_0_alpha_target_gamma_0_0_v1,119521,31250,10809,15812,0.696499613,0.774476974,0.33598232,0.593967169,0.429200677,0,KBFC,119521 & 31250,10809 & 15812,0.336 & Precision \cr,0.594 & Recall \cr,0.429 & F1 \cr,0.774 & AUC \cr
