Model,TN,FP,FN,TP,p,AUC,Precision,Recall,F1,LinearTrans,Algorithm,Actual N,Actual P,Precision,Recall,F1,AUC
Bagging_Hard_Tomek_2_v2_Linear_Transform,142492,8279,18594,8027,0.72,0.763450107,0.49227278,0.301528868,0.373994316,1,Bagg,142492 & 8279,18594 & 8027,0.492 & Precision \cr,0.302 & Recall \cr,0.374 & F1 \cr,0.763 & AUC \cr
Bagging_Hard_Tomek_2_v1_Linear_Transform,142754,8017,18656,7965,0.72,0.765499149,0.498373167,0.29919988,0.373927952,1,Bagg,142754 & 8017,18656 & 7965,0.498 & Precision \cr,0.299 & Recall \cr,0.374 & F1 \cr,0.765 & AUC \cr
Bagging_Hard_Tomek_1_v2_Linear_Transform,142723,8048,18769,7852,0.72,0.762983824,0.493836475,0.294955111,0.369334028,1,Bagg,142723 & 8048,18769 & 7852,0.494 & Precision \cr,0.295 & Recall \cr,0.369 & F1 \cr,0.763 & AUC \cr
Bagging_Hard_Tomek_0_v1_Linear_Transform,143585,7186,19156,7465,0.7,0.765445015,0.509521531,0.280417715,0.361757303,1,Bagg,143585 & 7186,19156 & 7465,0.51 & Precision \cr,0.28 & Recall \cr,0.362 & F1 \cr,0.765 & AUC \cr
Bagging_Hard_Tomek_0_v2_Linear_Transform,143441,7330,19216,7405,0.71,0.760739557,0.502544958,0.278163856,0.358120894,1,Bagg,143441 & 7330,19216 & 7405,0.503 & Precision \cr,0.278 & Recall \cr,0.358 & F1 \cr,0.761 & AUC \cr
Bagging_Medium_Tomek_0_v2_Linear_Transform,146138,4633,23147,3474,0.81,0.691817052,0.428518559,0.130498479,0.20008195,1,Bagg,146138 & 4633,23147 & 3474,0.429 & Precision \cr,0.13 & Recall \cr,0.2 & F1 \cr,0.692 & AUC \cr
Bagging_Medium_Tomek_0_v1_Linear_Transform,146148,4623,23270,3351,0.82,0.690313477,0.420240777,0.125878066,0.193740322,1,Bagg,146148 & 4623,23270 & 3351,0.42 & Precision \cr,0.126 & Recall \cr,0.194 & F1 \cr,0.69 & AUC \cr
Bagging_Easy_Tomek_0_v2_Linear_Transform,148519,2252,25219,1402,0.87,0.654798259,0.383689097,0.052665189,0.092633426,1,Bagg,148519 & 2252,25219 & 1402,0.384 & Precision \cr,0.053 & Recall \cr,0.093 & F1 \cr,0.655 & AUC \cr
Bagging_Easy_Tomek_0_v1_Linear_Transform,148589,2182,25277,1344,0.88,0.656980997,0.381168452,0.050486458,0.089178969,1,Bagg,148589 & 2182,25277 & 1344,0.381 & Precision \cr,0.05 & Recall \cr,0.089 & F1 \cr,0.657 & AUC \cr
BRFC_Hard_Tomek_0_v1_Linear_Transform,140486,10285,16082,10539,0.688,0.799666785,0.50609873,0.395890462,0.444271925,1,BRFC,140486 & 10285,16082 & 10539,0.506 & Precision \cr,0.396 & Recall \cr,0.444 & F1 \cr,0.8 & AUC \cr
BRFC_Hard_Tomek_1_v1_Linear_Transform,141457,9314,16541,10080,0.7045,0.799603478,0.519748373,0.378648435,0.438128251,1,BRFC,141457 & 9314,16541 & 10080,0.52 & Precision \cr,0.379 & Recall \cr,0.438 & F1 \cr,0.8 & AUC \cr
BRFC_Hard_Tomek_2_v1_Linear_Transform,141216,9555,16502,10119,0.7045,0.799399738,0.514333636,0.380113444,0.437163265,1,BRFC,141216 & 9555,16502 & 10119,0.514 & Precision \cr,0.38 & Recall \cr,0.437 & F1 \cr,0.799 & AUC \cr
BRFC_Hard_Tomek_2_v2_Linear_Transform,141076,9695,16615,10006,0.7045,0.796856525,0.507892998,0.375868675,0.432029565,1,BRFC,141076 & 9695,16615 & 10006,0.508 & Precision \cr,0.376 & Recall \cr,0.432 & F1 \cr,0.797 & AUC \cr
BRFC_Hard_Tomek_1_v2_Linear_Transform,141185,9586,16672,9949,0.7045,0.798052516,0.509291014,0.373727508,0.43111345,1,BRFC,141185 & 9586,16672 & 9949,0.509 & Precision \cr,0.374 & Recall \cr,0.431 & F1 \cr,0.798 & AUC \cr
BRFC_Hard_Tomek_0_v2_Linear_Transform,141369,9402,16723,9898,0.695,0.797305401,0.512849738,0.371811728,0.431098426,1,BRFC,141369 & 9402,16723 & 9898,0.513 & Precision \cr,0.372 & Recall \cr,0.431 & F1 \cr,0.797 & AUC \cr
BRFC_Medium_Tomek_0_v2_Linear_Transform,142441,8330,20368,6253,0.763471429,0.728672928,0.428786941,0.234889749,0.303525075,1,BRFC,142441 & 8330,20368 & 6253,0.429 & Precision \cr,0.235 & Recall \cr,0.304 & F1 \cr,0.729 & AUC \cr
BRFC_Medium_Tomek_0_v1_Linear_Transform,143055,7716,20825,5796,0.77276,0.725535697,0.428952039,0.21772285,0.288850674,1,BRFC,143055 & 7716,20825 & 5796,0.429 & Precision \cr,0.218 & Recall \cr,0.289 & F1 \cr,0.726 & AUC \cr
BRFC_Easy_Tomek_0_v1_Linear_Transform,148765,2006,25241,1380,0.913632353,0.662689119,0.407560531,0.051838774,0.091994533,1,BRFC,148765 & 2006,25241 & 1380,0.408 & Precision \cr,0.052 & Recall \cr,0.092 & F1 \cr,0.663 & AUC \cr
BRFC_Easy_Tomek_0_v2_Linear_Transform,148779,1992,25264,1357,0.912343446,0.660328202,0.405195569,0.050974794,0.090573253,1,BRFC,148779 & 1992,25264 & 1357,0.405 & Precision \cr,0.051 & Recall \cr,0.091 & F1 \cr,0.66 & AUC \cr
EEC_Hard_Tomek_1_v1_Linear_Transform,143314,7457,20958,5663,0.528756378,0.732926115,0.431631094,0.212726795,0.285006498,1,EEC_,143314 & 7457,20958 & 5663,0.432 & Precision \cr,0.213 & Recall \cr,0.285 & F1 \cr,0.733 & AUC \cr
EEC_Hard_Tomek_2_v1_Linear_Transform,143296,7475,20961,5660,0.528829837,0.732905838,0.43090978,0.212614102,0.284748045,1,EEC_,143296 & 7475,20961 & 5660,0.431 & Precision \cr,0.213 & Recall \cr,0.285 & F1 \cr,0.733 & AUC \cr
