Name,TN,FP,FN,TP,center,AUC,Run,Precision = TP/PP,Recall = TP/P,F1
RUSB_Hard_Tomek_1_Linear_Transform,141887,8884,19712,6909,0.500456646,0.753256661,2,0.437472298,0.259531948,0.325788655
RUSB_Hard_Tomek_1_Linear_Transform,141887,8884,19712,6909,0.500456646,0.753256661,3,0.437472298,0.259531948,0.325788655
AdaBoost_Hard_Tomek_0_Linear_Transform,141919,8852,19751,6870,0.498356791,0.752449981,1,0.436967307,0.25806694,0.324492832
AdaBoost_Hard_Tomek_1_Linear_Transform,141992,8779,19769,6852,0.498607166,0.752430402,1,0.43835967,0.257390782,0.324339676
AdaBoost_Hard_Tomek_1_Linear_Transform,141992,8779,19769,6852,0.498607166,0.752430402,2,0.43835967,0.257390782,0.324339676
AdaBoost_Hard_Tomek_1_Linear_Transform,141992,8779,19769,6852,0.498607166,0.752430402,3,0.43835967,0.257390782,0.324339676
RUSB_Hard_Tomek_1_Linear_Transform,142116,8655,19807,6814,0.500458522,0.753228714,1,0.440493891,0.255963337,0.323782371
AdaBoost_Hard_Tomek_0_Linear_Transform,141886,8885,19784,6837,0.498328755,0.751883368,2,0.434868337,0.256827317,0.322934133
AdaBoost_Hard_Tomek_0_Linear_Transform,141886,8885,19784,6837,0.498328755,0.751883368,3,0.434868337,0.256827317,0.322934133
RUSB_Hard_Tomek_0_Linear_Transform,141905,8866,19802,6819,0.500438,0.752361314,2,0.434746573,0.256151159,0.322365622
RUSB_Hard_Tomek_0_Linear_Transform,141905,8866,19802,6819,0.500438,0.752361314,3,0.434746573,0.256151159,0.322365622
RUSB_Hard_Tomek_2_Linear_Transform,142192,8579,19875,6746,0.500463128,0.753245418,2,0.440195759,0.253408963,0.321651647
RUSB_Hard_Tomek_2_Linear_Transform,142192,8579,19875,6746,0.500463128,0.753245418,3,0.440195759,0.253408963,0.321651647
AdaBoost_Hard_Tomek_2_Linear_Transform,142233,8538,19895,6726,0.498710082,0.752416923,1,0.440644654,0.252657676,0.321165095
AdaBoost_Hard_Tomek_2_Linear_Transform,142233,8538,19895,6726,0.498710082,0.752416923,2,0.440644654,0.252657676,0.321165095
AdaBoost_Hard_Tomek_2_Linear_Transform,142233,8538,19895,6726,0.498710082,0.752416923,3,0.440644654,0.252657676,0.321165095
RUSB_Hard_Tomek_0_Linear_Transform,142665,8106,20103,6518,0.50045117,0.753186446,1,0.445705689,0.244844296,0.316062553
RUSB_Hard_Tomek_2_Linear_Transform,142634,8137,20133,6488,0.500471871,0.75296891,1,0.443623932,0.243717366,0.314600204
BRFC_Medium_Tomek_0_Linear_Transform,142452,8319,20494,6127,0.7638,0.726440544,2,0.424131247,0.230156643,0.298390435
BRFC_Medium_Tomek_0_Linear_Transform,142452,8319,20494,6127,0.7638,0.726440544,3,0.424131247,0.230156643,0.298390435
BRFC_Medium_Tomek_0_Linear_Transform,142931,7840,20800,5821,0.772466667,0.72582053,1,0.426103506,0.218661959,0.289012462
EEC_Hard_Tomek_1_Linear_Transform,143280,7491,21064,5557,0.529476281,0.731468675,1,0.425889025,0.208744976,0.280168393
EEC_Hard_Tomek_2_Linear_Transform,143195,7576,21062,5559,0.529153652,0.731755097,1,0.423220404,0.208820104,0.279655901
EEC_Hard_Tomek_0_Linear_Transform,143311,7460,21087,5534,0.527541837,0.731379961,1,0.425888872,0.207880996,0.27938912
