AdaBoost_Easy_Tomek_0_Linear_Transform,150423,348,26429,192,0.498982474,0.657256649,2
AdaBoost_Hard_Tomek_0_Linear_Transform,141886,8885,19784,6837,0.498328755,0.751883368,2
AdaBoost_Hard_Tomek_1_Linear_Transform,141992,8779,19769,6852,0.498607166,0.752430402,2
AdaBoost_Hard_Tomek_2_Linear_Transform,142233,8538,19895,6726,0.498710082,0.752416923,2
AdaBoost_Medium_Tomek_0_Linear_Transform,144794,5977,22204,4417,0.498296003,0.702766197,2
BRFC_Easy_Tomek_0_Linear_Transform,148789,1982,25306,1315,0.914850927,0.659142672,2
BRFC_Hard_Tomek_0_r_target_Linear_Transform,141062,9709,16696,9925,0.692666667,0.79692954,2
BRFC_Hard_Tomek_1_Linear_Transform,141145,9626,16705,9916,0.7045,0.798623601,2
BRFC_Hard_Tomek_2_Linear_Transform,140943,9828,16618,10003,0.7045,0.797514314,2
BRFC_Medium_Tomek_0_Linear_Transform,142452,8319,20494,6127,0.7638,0.726440544,2
Bagging_Easy_Tomek_0_Linear_Transform,149026,1745,25437,1184,0.89,0.653709764,2
Bagging_Hard_Tomek_0_Linear_Transform,143336,7435,19214,7407,0.72,0.759372633,2
Bagging_Hard_Tomek_1_Linear_Transform,142575,8196,18726,7895,0.72,0.762969965,2
Bagging_Hard_Tomek_2_Linear_Transform,142439,8332,18556,8065,0.73,0.762760819,2
Bagging_Medium_Tomek_0_Linear_Transform,146074,4697,23147,3474,0.81,0.691350787,2
EEC_Easy_Tomek_0_Linear_Transform,150194,577,26305,316,0.531300609,0.654311785,2
EEC_Hard_Tomek_0_Linear_Transform,143297,7474,21135,5486,0.527237814,0.730628062,2
EEC_Hard_Tomek_1_Linear_Transform,143268,7503,21105,5516,0.529229323,0.73167582,2
EEC_Hard_Tomek_2_Linear_Transform,143455,7316,21152,5469,0.529908672,0.731168614,2
EEC_Medium_Tomek_0_Linear_Transform,144978,5793,22538,4083,0.526766526,0.690118288,2
Ideal_Left_Linear_Transform,44481,12156,2306,7694,0.5,0.83746564,2
Ideal_Right_Linear_Transform,44481,12156,2306,7694,0.5,0.83746564,2
KBFC_Easy_Tomek_0_alpha_target_gamma_2_0_Linear_Transform,149844,927,26067,554,0.570140324,0.660622734,2
KBFC_Hard_Tomek_0_alpha_target_gamma_0_0_Linear_Transform,141406,9365,18242,8379,0.65781965,0.772729002,2
KBFC_Hard_Tomek_0_alpha_target_gamma_2_0_Linear_Transform,142317,8454,18818,7803,0.585133286,0.772161853,2
KBFC_Hard_Tomek_1_alpha_target_gamma_2_0_Linear_Transform,142441,8330,18906,7715,0.594758083,0.771702589,2
KBFC_Hard_Tomek_2_alpha_target_gamma_2_0_Linear_Transform,141962,8809,18609,8012,0.580151914,0.771490943,2
KBFC_Medium_Tomek_0_alpha_target_gamma_2_0_Linear_Transform,144569,6202,21916,4705,0.559693876,0.708643202,2
LRC_Hard_Tomek_0_r_target_Linear_Transform,141612,9159,19568,7053,0.500352837,0.752668338,2
RUSB_Easy_Tomek_0_Linear_Transform,150355,416,26393,228,0.500496031,0.65713447,2
RUSB_Hard_Tomek_0_Linear_Transform,141905,8866,19802,6819,0.500438,0.752361314,2
RUSB_Hard_Tomek_1_Linear_Transform,141887,8884,19712,6909,0.500456646,0.753256661,2
RUSB_Hard_Tomek_2_Linear_Transform,142192,8579,19875,6746,0.500463128,0.753245418,2
RUSB_Medium_Tomek_0_Linear_Transform,145203,5568,22426,4195,0.500445443,0.702690535,2
