p,Filename,Neg,Pos,$m$Prec,TN,FP,FN,TP,Prec,Rec,FP/P,$\hat{p}
0.8,BRFC_5_Fold_alpha_0_5_Hard_Test,1557,1752,0.5294650951949229,588528,12287,89232,23519,0.6568452214712618,0.20859238498993357,0.10897464324041473,0.05017896032041885
0.8,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_100,1557,1752,0.5294650951949229,588528,12287,89232,23519,0.6568452214712618,0.20859238498993357,0.10897464324041473,0.05017896032041885
0.82,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_98,1562,1750,0.5283816425120773,588549,12266,89248,23503,0.6570773574883279,0.20845047937490577,0.10878839212069072,0.050127108074095456
0.84,BRFC_5_Fold_alpha_0_5_Hard_Test_Transformed_95,117,130,0.5263157894736842,588647,12168,89363,23388,0.657779277759028,0.2074305327668934,0.10791922022864542,0.04982860730472024
0.79,BRFC_5_Fold_alpha_balanced_Hard_Test,1568,1649,0.512589368977308,587918,12897,88715,24036,0.650800097473804,0.2131777101755195,0.11438479481334977,0.05175835171518822
0.79,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_100,1568,1649,0.512589368977308,587918,12897,88715,24036,0.650800097473804,0.2131777101755195,0.11438479481334977,0.05175835171518822
0.81,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_98,1565,1647,0.5127646326276464,587933,12882,88720,24031,0.6510172567929997,0.2131333646708233,0.11425175829926121,0.05173032347393233
0.82,BRFC_5_Fold_alpha_balanced_Hard_Test_Transformed_95,1566,1649,0.5129082426127527,587926,12889,88718,24033,0.6509127349547695,0.21315110287270178,0.11431384200583587,0.051742936182497486
0.43,LogReg_5_Fold_alpha_0_5_Hard_Test,1611,1175,0.4217516152189519,583350,17465,94074,18677,0.5167671960599857,0.1656481982421442,0.154898847903788,0.050649834773517796
0.47,LogReg_5_Fold_alpha_0_5_Hard_Test_Transformed_100,1432,1016,0.4150326797385621,584086,16729,94605,18146,0.5203154121863799,0.16093870564340892,0.14837118961250897,0.0488742456899572
0.55,LogReg_5_Fold_alpha_0_5_Hard_Test_Transformed_98,1197,847,0.4143835616438356,583646,17169,94270,18481,0.5184011220196354,0.1639098544580536,0.15227359402577362,0.049960340038622916
0.61,LogReg_5_Fold_alpha_0_5_Hard_Test_Transformed_95,1052,778,0.42513661202185793,583296,17519,94033,18718,0.5165438640064023,0.16601183138065295,0.15537777935450683,0.05078296891948327
0.81,LogReg_5_Fold_alpha_balanced_Hard_Test,2288,1662,0.42075949367088605,583030,17785,94383,18368,0.5080629546648964,0.1629076460519197,0.15773696020434408,0.05066525030620853
0.82,LogReg_5_Fold_alpha_balanced_Hard_Test_Transformed_100,2248,1629,0.42017023471756515,583753,17062,94907,17844,0.5112015126339311,0.15826023715975912,0.15132460022527516,0.04891768946390383
0.84,LogReg_5_Fold_alpha_balanced_Hard_Test_Transformed_98,2014,1472,0.42226047045324155,583519,17296,94750,18001,0.5099866844207723,0.15965268600721944,0.1533999698450568,0.049465641580456465
0.86,LogReg_5_Fold_alpha_balanced_Hard_Test_Transformed_95,1902,1404,0.4246823956442831,583513,17302,94742,18009,0.5100110447169437,0.15972363881473334,0.15345318445069223,0.04948526134933559
0.5,AdaBoost_5_Fold_Hard_Test,580549,100509,0.14757773934084908,590561,10254,100616,12135,0.5420072356961008,0.10762653989765057,0.09094376103094429,0.031376214673905424
0.65,AdaBoost_5_Fold_Hard_Test_Transformed_100,2886,2199,0.4324483775811209,584546,16269,95477,17274,0.5149807709507199,0.15320484962439357,0.1442914031804596,0.04700756482231497
0.73,AdaBoost_5_Fold_Hard_Test_Transformed_98,1923,1465,0.43240850059031877,584241,16574,95236,17515,0.5138021062512834,0.15534230295074988,0.14699647896692714,0.047772735808600746
0.77,AdaBoost_5_Fold_Hard_Test_Transformed_95,1839,1356,0.4244131455399061,582728,18087,94096,18655,0.5077295737847695,0.16545307802148096,0.1604154286879939,0.05149068201119448
0.8,BalBag_5_Fold_Hard_Test,16294,13021,0.4441753368582637,588360,12455,94017,18734,0.6006604892750649,0.16615373699568076,0.11046465219820667,0.04370864082649678
0.8,BalBag_5_Fold_Hard_Test_Transformed_100,16294,13021,0.4441753368582637,588360,12455,94017,18734,0.6006604892750649,0.16615373699568076,0.11046465219820667,0.04370864082649678
0.8,BalBag_5_Fold_Hard_Test_Transformed_98,16294,13021,0.4441753368582637,588360,12455,94017,18734,0.6006604892750649,0.16615373699568076,0.11046465219820667,0.04370864082649678
0.8,BalBag_5_Fold_Hard_Test_Transformed_95,16294,13021,0.4441753368582637,588360,12455,94017,18734,0.6006604892750649,0.16615373699568076,0.11046465219820667,0.04370864082649678
0.53,EEC_5_Fold_Hard_Test,24804,13225,0.34776091929843017,574401,26414,91547,21204,0.4452937964635222,0.18806041631559808,0.23426843220902696,0.06673243960614715
0.64,EEC_5_Fold_Hard_Test_Transformed_100,2377,1566,0.39715952320568093,580085,20730,95208,17543,0.45836490476314895,0.15559063777704854,0.18385646247039938,0.053636243879332815
0.73,EEC_5_Fold_Hard_Test_Transformed_98,4376,2998,0.4065636018443179,583033,17782,97213,15538,0.4663265306122449,0.1378080903938768,0.15771035290152638,0.0466950499323118
0.79,EEC_5_Fold_Hard_Test_Transformed_95,2734,1854,0.4040976460331299,581361,19454,96044,16707,0.46201709023533644,0.14817606939184574,0.17253948967193194,0.050676461602710894
0.51,RUSBoost_5_Fold_Hard_Test,180137,75717,0.2959383085666044,600815,0,112751,0,,0.0,0.0,0.0
0.66,RUSBoost_5_Fold_Hard_Test_Transformed_100,3073,2281,0.42603660814344413,583309,17506,94407,18344,0.5116875871687587,0.162694787629378,0.15526248104229673,0.05024062245118181
0.72,RUSBoost_5_Fold_Hard_Test_Transformed_98,2031,1494,0.4238297872340426,582936,17879,94139,18612,0.510043572387712,0.16507170668109375,0.15857065569263243,0.051138927583433066
0.77,RUSBoost_5_Fold_Hard_Test_Transformed_95,1750,1284,0.42320369149637443,583213,17602,94345,18406,0.511164185736503,0.16324467188761074,0.15611391473246358,0.05046204555710334
0.48,KBFC_5_Fold_alpha_0_5_gamma_0_0_Hard_Test,1163,988,0.4593212459321246,586199,14616,91190,21561,0.5959864001990215,0.19122668535090598,0.12963077932789954,0.0506988841957156
0.49,KBFC_5_Fold_alpha_0_5_gamma_0_0_Hard_Test_Transformed_100,1109,939,0.45849609375,586547,14268,91514,21237,0.598141106886354,0.18835309664659294,0.12654433220104477,0.049757135289517716
0.57,KBFC_5_Fold_alpha_0_5_gamma_0_0_Hard_Test_Transformed_98,884,803,0.4759928867812685,586673,14142,91656,21095,0.5986604989073985,0.18709368431322118,0.12542682548270082,0.049381556856688796
0.6,KBFC_5_Fold_alpha_0_5_gamma_0_0_Hard_Test_Transformed_95,936,794,0.45895953757225433,586118,14697,91129,21622,0.5953357746633994,0.1917677005081995,0.1303491765039778,0.05089788470863242
0.84,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test,1931,1788,0.4807744017208927,586394,14421,91976,20775,0.5902659393112853,0.18425557201266507,0.12790130464474816,0.049324098962114225
0.84,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test_Transformed_100,2015,1758,0.46594222104426186,585813,15002,91420,21331,0.5870971293314617,0.1891867921348813,0.13305425229044532,0.05091750447751154
0.86,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test_Transformed_98,1968,1655,0.45680375379519733,585459,15356,91069,21682,0.5853987796317296,0.19229984656455376,0.13619391402293549,0.05190549998178164
0.87,KBFC_5_Fold_alpha_balanced_gamma_0_0_Hard_Test_Transformed_95,1915,1604,0.45581131003125885,585378,15437,90993,21758,0.584971098265896,0.19297389823593583,0.13691231119901376,0.05212552167564038
0.49,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test,2070,1834,0.4697745901639344,586162,14653,91185,21566,0.5954333360943151,0.19127103085560218,0.12995893606265133,0.05075774350235297
0.49,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test_Transformed_100,2063,1826,0.4695294420159424,586140,14675,91156,21595,0.5953956437827406,0.19152823478284006,0.13015405628331456,0.05082921551755549
0.66,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test_Transformed_98,1345,1191,0.46963722397476343,586445,14370,91432,21319,0.5973549272885202,0.18908036292361044,0.12744898049684703,0.050014995109071904
