p,Filename,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}
0.28,LRC_Hard_Tomek_0_alpha_0_5_v1_Train,3856,1569,0.28921658986175114,377637,42933,49334,29592,0.4080248190279214,0.3749334819957935,0.14519635792879224
0.3,LRC_Hard_Tomek_0_alpha_0_5_v1_Train_Transformed_100,3523,1451,0.2917169280257338,377508,43062,49288,29638,0.4076753782668501,0.3755163064136026,0.14554671108477346
0.34,LRC_Hard_Tomek_0_alpha_0_5_v1_Train_Transformed_98,3076,1214,0.282983682983683,375075,45495,48319,30607,0.40218391106672624,0.38779362947571144,0.15235757643704856
0.38,LRC_Hard_Tomek_0_alpha_0_5_v1_Train_Transformed_95,2630,1070,0.2891891891891892,376005,44565,48708,30218,0.4040757926266665,0.38286496211641285,0.14971691464996717
0.28,LRC_Hard_Tomek_0_alpha_0_5_v1_Test,1731,640,0.26992830029523407,161973,18272,20988,12837,0.41264585811180043,0.3795121951219512,0.14532162376792637
0.3,LRC_Hard_Tomek_0_alpha_0_5_v1_Test_Transformed_100,1594,583,0.26779972439136424,161472,18773,20802,13023,0.4095798213611775,0.3850110864745011,0.1485308543934227
0.34,LRC_Hard_Tomek_0_alpha_0_5_v1_Test_Transformed_98,1304,516,0.2835164835164835,160868,19377,20610,13215,0.4054675994108984,0.39068736141906873,0.15224926425935442
0.38,LRC_Hard_Tomek_0_alpha_0_5_v1_Test_Transformed_95,1161,439,0.274375,161256,18989,20730,13095,0.4081473631716744,0.387139689578714,0.1498762087167749
0.68,LRC_Hard_Tomek_0_alpha_balanced_v1_Train,3380,1347,0.284958747620055,377412,43158,49392,29534,0.4062895504319595,0.3741986164255125,0.14553069494050003
0.68,LRC_Hard_Tomek_0_alpha_balanced_v1_Train_Transformed_100,3307,1319,0.2851275399913532,376608,43962,49076,29850,0.4044057876768005,0.37820236677394015,0.1477729551387799
0.68,LRC_Hard_Tomek_0_alpha_balanced_v1_Train_Transformed_98,2999,1181,0.28253588516746414,374790,45780,48350,30576,0.4004400440044004,0.38740085649849226,0.15286608901772988
0.69,LRC_Hard_Tomek_0_alpha_balanced_v1_Train_Transformed_95,2836,1119,0.2829329962073325,374514,46056,48237,30689,0.39988272851651574,0.3888325773509363,0.1536448740330253
0.68,LRC_Hard_Tomek_0_alpha_balanced_v1_Test,1444,569,0.2826626924987581,161836,18409,21059,12766,0.4094947874899759,0.37741315594974134,0.1456299341336946
