p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,"10,515",162,0.02,"10,515","410,055",162,"78,764",0.16,1.00,0.98
0.1,"19,909",547,0.03,"30,424","390,146",709,"78,217",0.17,0.99,0.94
0.2,"37,365","1,631",0.04,"67,789","352,781","2,340","76,586",0.18,0.97,0.86
0.3,"59,095","4,013",0.06,"126,884","293,686","6,353","72,573",0.20,0.92,0.73
0.4,"75,131","7,722",0.09,"202,015","218,555","14,075","64,851",0.23,0.82,0.57
0.5,"75,556","11,304",0.13,"277,571","142,999","25,379","53,547",0.27,0.68,0.39
0.6,"61,472","13,766",0.18,"339,043","81,527","39,145","39,781",0.33,0.50,0.24
0.7,"40,855","13,225",0.24,"379,898","40,672","52,370","26,556",0.40,0.34,0.13
0.8,"22,715","10,571",0.32,"402,613","17,957","62,941","15,985",0.47,0.20,0.07
0.9,"11,640","8,264",0.42,"414,253","6,317","71,205","7,721",0.55,0.10,0.03
1.0,"6,317","7,721",0.55,"420,570",0,"78,926",0,nan,0.00,0.00
