p,Filename,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}
0.51,AdaBoost_Hard_Tomek_0_v1_Test,3251,3827,0.5406894602995196,180245,0,33825,0,,0.0,0.0
0.83,AdaBoost_Hard_Tomek_0_v1_Test_Transformed_100,46,89,0.6592592592592592,180028,217,33355,470,0.6841339155749636,0.013895048041389505,0.003209230625496333
1.0,AdaBoost_Hard_Tomek_0_v1_Test_Transformed_98,189,394,0.6758147512864494,180245,0,33825,0,,0.0,0.0
1.0,AdaBoost_Hard_Tomek_0_v1_Test_Transformed_95,535,915,0.6310344827586207,180245,0,33825,0,,0.0,0.0
0.87,Bagging_Hard_Tomek_0_v1_Train,37,60,0.6185567010309279,418226,2344,37158,41768,0.9468625317373958,0.529204571370651,0.08831301952367987
0.87,Bagging_Hard_Tomek_0_v1_Train_Transformed_100,37,60,0.6185567010309279,418226,2344,37158,41768,0.9468625317373958,0.529204571370651,0.08831301952367987
0.87,Bagging_Hard_Tomek_0_v1_Train_Transformed_98,37,60,0.6185567010309279,418226,2344,37158,41768,0.9468625317373958,0.529204571370651,0.08831301952367987
0.87,Bagging_Hard_Tomek_0_v1_Train_Transformed_95,37,60,0.6185567010309279,418226,2344,37158,41768,0.9468625317373958,0.529204571370651,0.08831301952367987
1.0,Bagging_Hard_Tomek_0_v1_Test,1035,2058,0.6653734238603298,180245,0,33825,0,,0.0,0.0
1.0,Bagging_Hard_Tomek_0_v1_Test_Transformed_100,1035,2058,0.6653734238603298,180245,0,33825,0,,0.0,0.0
1.0,Bagging_Hard_Tomek_0_v1_Test_Transformed_98,1035,2058,0.6653734238603298,180245,0,33825,0,,0.0,0.0
1.0,Bagging_Hard_Tomek_0_v1_Test_Transformed_95,1035,2058,0.6653734238603298,180245,0,33825,0,,0.0,0.0
0.51,RUSBoost_Hard_Tomek_0_v1_Train,126192,53179,0.296474903969984,420570,0,78926,0,,0.0,0.0
0.81,RUSBoost_Hard_Tomek_0_v1_Train_Transformed_100,138,270,0.6617647058823529,419936,634,77570,1356,0.6814070351758794,0.01718065022932874,0.003984015888015119
0.95,RUSBoost_Hard_Tomek_0_v1_Train_Transformed_98,96,192,0.6666666666666666,419878,692,77466,1460,0.6784386617100372,0.01849834021741885,0.0043083428095520284
1.0,RUSBoost_Hard_Tomek_0_v1_Train_Transformed_95,1155,2157,0.6512681159420289,420570,0,78926,0,,0.0,0.0
0.51,RUSBoost_Hard_Tomek_0_v1_Test,53850,22541,0.29507402704507074,180245,0,33825,0,,0.0,0.0
0.84,RUSBoost_Hard_Tomek_0_v1_Test_Transformed_100,51,94,0.6482758620689655,180040,205,33358,467,0.6949404761904762,0.013806356245380636,0.0031391600878217405
0.95,RUSBoost_Hard_Tomek_0_v1_Test_Transformed_98,39,68,0.6355140186915887,179942,303,33190,635,0.6769722814498934,0.01877309682187731,0.004381744289251179
1.0,RUSBoost_Hard_Tomek_0_v1_Test_Transformed_95,493,921,0.6513437057991514,180245,0,33825,0,,0.0,0.0
0.58,EEC_Hard_Tomek_0_v1_Train,274,491,0.6418300653594772,420521,49,78862,64,0.5663716814159292,0.0008108861465169906,0.00022622803786216507
