p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,0,0,nan,0,"420,570",0,"78,926",0.16,1.00,1.00
0.1,0,0,nan,0,"420,570",0,"78,926",0.16,1.00,1.00
0.2,101,0,0.00,101,"420,469",0,"78,926",0.16,1.00,1.00
0.3,"8,321",263,0.03,"8,422","412,148",263,"78,663",0.16,1.00,0.98
0.4,"69,243","4,321",0.06,"77,665","342,905","4,584","74,342",0.18,0.94,0.84
0.5,"131,292","16,248",0.11,"208,957","211,613","20,832","58,094",0.22,0.74,0.54
0.6,"142,622","30,219",0.17,"351,579","68,991","51,051","27,875",0.29,0.35,0.19
0.7,"63,404","24,215",0.28,"414,983","5,587","75,266","3,660",0.40,0.05,0.02
0.8,"5,569","3,642",0.40,"420,552",18,"78,908",18,0.50,0.00,0.00
0.9,18,18,0.50,"420,570",0,"78,926",0,nan,0.00,0.00
1.0,0,0,nan,"420,570",0,"78,926",0,nan,0.00,0.00
