,0
0.30906899485946715,53
0.263512718129493,29
0.2182276288845108,26
0.20118059597346272,24
0.2310622731275958,23
0.22090023450891108,23
0.22326555098074502,23
0.18518252532940532,23
0.2181403438884889,22
0.16529481919024416,21
0.23360927648848276,21
0.21920730134799352,21
0.2326780557258664,20
0.22581255443787335,20
0.19279694676390063,20
0.2110193193530202,19
0.28948426610233263,18
0.22441985426885222,18
0.23479167153950994,18
0.21639868056512343,18
0.23000545021955524,18
0.22059294536914523,18
0.23522505905969365,18
0.24555463336474545,18
0.22742833707975743,18
0.1971278822343667,17
0.2225160171768223,17
0.18560239269206524,17
0.2828418531863809,17
0.2231399488461873,17
0.18728915966149473,17
0.23448438241926445,17
0.23049630217617814,16
0.18930955042860093,16
0.21322961003117355,16
0.1839866102864905,16
0.21285315799602955,16
0.19133354067678762,16
0.22033426353539984,15
0.21787872779824946,15
0.2218322754645373,15
0.2115549049789848,15
0.3033756867291647,15
0.22603563691958686,15
0.18785513055854716,15
0.23814110554951745,15
0.18595129372327296,15
0.1846043884539897,15
0.1669106011547507,15
0.22300686914867138,15
0.2265264888855356,14
0.2443877383548308,14
0.19467317515293,14
0.2399157878011646,14
0.2300806400571019,14
0.24416193339509087,14
0.16592781683205102,14
0.230312739348471,14
0.22869695672851656,14
0.2530433937156606,14
0.23970399109101317,14
0.21764949191219815,14
0.2279191890427724,14
0.21949451047506038,14
0.22602435116706984,14
0.24389688645317958,13
0.2079097489732477,13
0.20763354889030125,13
0.22220872803820374,13
0.25628087900323876,13
0.21603370923261733,13
0.2276401338075116,13
0.2400871846207609,13
0.18122672019599428,13
0.23284559238793967,13
0.22174724866549655,13
0.22140122099098725,13
0.1895035839195679,13
0.23211906606878122,13
0.21240778861012016,13
0.1918504053116216,13
0.22216711609328169,13
0.18644214562426858,12
0.22544621420567285,12
0.19648176343557275,12
0.2611474026002249,12
0.22629922600303382,12
0.19499086623389095,12
0.2413197735818645,12
0.20277457929662965,12
0.17097590538282342,12
0.24258839310270056,12
0.207276158275212,12
0.2133234124951872,12
0.1829429695380956,12
0.20522497738010506,12
0.22385388330056938,12
0.16675941993058369,12
0.20794083802866578,12
0.23563868563977977,12
