p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,0,0,nan,0,"420,570",0,"78,926",0.16,1.00,1.00
0.1,"151,074","10,898",0.07,"151,074","269,496","10,898","68,028",0.20,0.86,0.68
0.2,"186,265","31,499",0.14,"337,339","83,231","42,397","36,529",0.31,0.46,0.24
0.3,"56,642","18,353",0.24,"393,981","26,589","60,750","18,176",0.41,0.23,0.09
0.4,"15,883","8,489",0.35,"409,864","10,706","69,239","9,687",0.48,0.12,0.04
0.5,"6,809","5,351",0.44,"416,673","3,897","74,590","4,336",0.53,0.05,0.02
0.6,"3,057","3,226",0.51,"419,730",840,"77,816","1,110",0.57,0.01,0.00
0.7,772,996,0.56,"420,502",68,"78,812",114,0.63,0.00,0.00
0.8,68,113,0.62,"420,570",0,"78,925",1,1.00,0.00,0.00
0.9,0,1,1.00,"420,570",0,"78,926",0,nan,0.00,0.00
1.0,0,0,nan,"420,570",0,"78,926",0,nan,0.00,0.00
