,0
0.0,4545
0.24468085106382984,3374
0.2553191489361702,3357
0.20212765957446807,3353
0.2340425531914894,3342
0.18085106382978722,3328
0.2127659574468085,3319
0.22340425531914895,3276
0.2765957446808511,3272
0.26595744680851063,3230
0.19148936170212766,3193
0.29787234042553196,3137
0.2872340425531915,3130
0.3191489361702127,3062
0.3085106382978724,3051
0.32978723404255317,2989
0.17021276595744678,2955
0.1595744680851064,2937
0.14893617021276598,2926
0.13829787234042554,2860
0.3404255319148936,2824
0.12765957446808512,2736
0.35106382978723405,2735
0.11702127659574468,2608
0.37234042553191493,2578
0.3617021276595745,2549
0.10638297872340424,2493
0.3829787234042553,2436
0.39361702127659576,2365
0.40425531914893614,2321
0.09574468085106384,2308
0.4148936170212766,2308
0.0851063829787234,2277
0.425531914893617,2161
0.43617021276595747,2100
0.07446808510638298,2057
0.44680851063829785,2018
0.9148936170212766,1986
0.9361702127659575,1978
0.06382978723404255,1887
0.925531914893617,1874
0.4574468085106383,1842
0.9042553191489361,1840
0.9468085106382977,1811
0.46808510638297873,1795
0.9574468085106382,1791
0.8617021276595744,1776
0.8936170212765957,1760
0.8723404255319148,1754
0.05319148936170213,1753
0.8829787234042552,1726
0.5,1708
0.8510638297872339,1699
0.4893617021276596,1659
0.4787234042553192,1632
0.8297872340425531,1601
0.5106382978723405,1584
0.8404255319148936,1578
0.9680851063829786,1551
0.042553191489361694,1542
0.8191489361702127,1497
0.8085106382978723,1472
0.031914893617021274,1379
0.7978723404255319,1373
0.5212765957446809,1367
0.5425531914893617,1346
0.5319148936170213,1339
0.978723404255319,1335
0.021276595744680854,1319
0.7872340425531915,1293
0.776595744680851,1280
0.7553191489361701,1236
0.7659574468085106,1230
0.553191489361702,1191
0.5638297872340424,1183
0.5744680851063829,1152
0.7446808510638298,1143
0.2536381779216429,1097
0.7340425531914893,1080
0.22172328430462165,1076
0.26427647579398333,1061
0.5851063829787233,1053
0.9893617021276595,1042
0.2110849864322812,1035
0.24299988004930245,1031
0.2323615821769621,1030
0.01063829787234042,1028
0.30682966728334504,1025
0.7234042553191489,1024
0.18980839068760036,1009
0.3387445609003663,1009
0.2749147736663238,1006
0.2855530715386642,997
0.7127659574468084,991
0.29619136941100466,984
0.32810626302802587,979
0.6063829787234042,978
0.5957446808510638,974
0.3174679651556854,960
0.20044668855994077,944
