p,Filename,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}
0.67,LRC_Hard_Tomek_0_alpha_0_5_v1_Train,118,211,0.6413373860182371,419373,1197,76567,2359,0.6633858267716536,0.0298887565567747,0.007119176129538575
0.73,LRC_Hard_Tomek_0_alpha_0_5_v1_Train_Transformed_100,125,201,0.6165644171779141,419440,1130,76655,2271,0.6677447809467804,0.02877378810531384,0.0068088633342409145
0.87,LRC_Hard_Tomek_0_alpha_0_5_v1_Train_Transformed_98,103,162,0.6113207547169811,419424,1146,76625,2301,0.6675369886858138,0.029153890986493677,0.006900956163813123
0.98,LRC_Hard_Tomek_0_alpha_0_5_v1_Train_Transformed_95,92,134,0.5929203539823009,419461,1109,76696,2230,0.6678646301287811,0.02825431416770139,0.00668473821612185
0.68,LRC_Hard_Tomek_0_alpha_0_5_v1_Test,63,86,0.5771812080536913,179781,464,32895,930,0.667144906743185,0.027494456762749447,0.00651188863455879
0.74,LRC_Hard_Tomek_0_alpha_0_5_v1_Test_Transformed_100,59,69,0.5390625,179756,489,32848,977,0.6664392905866303,0.028883961566888397,0.0068482272153968324
0.89,LRC_Hard_Tomek_0_alpha_0_5_v1_Test_Transformed_98,39,60,0.6060606060606061,179824,421,32975,850,0.6687647521636507,0.025129342202512936,0.005937310225627131
0.99,LRC_Hard_Tomek_0_alpha_0_5_v1_Test_Transformed_95,32,58,0.6444444444444445,179795,450,32924,901,0.6669133974833457,0.02663710273466371,0.006311019759891625
0.93,LRC_Hard_Tomek_0_alpha_balanced_v1_Train,401,593,0.596579476861167,419603,967,77055,1871,0.6592670894996476,0.023705749689582646,0.005681727180998446
0.95,LRC_Hard_Tomek_0_alpha_balanced_v1_Train_Transformed_100,321,515,0.6160287081339713,419900,670,77532,1394,0.6753875968992248,0.017662113878823202,0.004132165222544324
0.98,LRC_Hard_Tomek_0_alpha_balanced_v1_Train_Transformed_98,329,456,0.5808917197452229,419778,792,77298,1628,0.6727272727272727,0.02062691635202595,0.004844883642711854
0.99,LRC_Hard_Tomek_0_alpha_balanced_v1_Train_Transformed_95,417,522,0.5559105431309904,419195,1375,76453,2473,0.6426715176715176,0.03133314750525809,0.0077037653955186825
0.94,LRC_Hard_Tomek_0_alpha_balanced_v1_Test,139,211,0.6028571428571429,179960,285,33229,596,0.6765039727582293,0.01762010347376201,0.004115476246087728
0.95,LRC_Hard_Tomek_0_alpha_balanced_v1_Test_Transformed_100,150,215,0.589041095890411,179918,327,33152,673,0.673,0.019896526237989653,0.004671369178306161
0.98,LRC_Hard_Tomek_0_alpha_balanced_v1_Test_Transformed_98,142,189,0.5709969788519638,179895,350,33117,708,0.6691871455576559,0.020931263858093126,0.004942308590647919
0.99,LRC_Hard_Tomek_0_alpha_balanced_v1_Test_Transformed_95,179,222,0.5536159600997507,179630,615,32776,1049,0.6304086538461539,0.031012564671101257,0.007773158312701453
0.59,BRFC_Hard_Tomek_0_alpha_0_5_v1_Train,3365,22,0.006495423678771774,387118,33452,60,78866,0.7021670613792981,0.9992397942376403,0.22486266156285536
0.59,BRFC_Hard_Tomek_0_alpha_0_5_v1_Train_Transformed_100,3365,22,0.006495423678771774,387118,33452,60,78866,0.7021670613792981,0.9992397942376403,0.22486266156285536
0.58,BRFC_Hard_Tomek_0_alpha_0_5_v1_Train_Transformed_98,3368,24,0.007075471698113208,387126,33444,62,78864,0.7022117747622609,0.9992144540455616,0.22484264138251359
0.58,BRFC_Hard_Tomek_0_alpha_0_5_v1_Train_Transformed_95,3365,24,0.007081735025081145,387374,33196,63,78863,0.7037631961734443,0.9992017839495223,0.22434413889200314
0.81,BRFC_Hard_Tomek_0_alpha_0_5_v1_Test,429,514,0.545068928950159,177089,3156,27443,6382,0.6691130215978193,0.1886770140428677,0.04455551922268417
0.81,BRFC_Hard_Tomek_0_alpha_0_5_v1_Test_Transformed_100,429,514,0.545068928950159,177089,3156,27443,6382,0.6691130215978193,0.1886770140428677,0.04455551922268417
0.83,BRFC_Hard_Tomek_0_alpha_0_5_v1_Test_Transformed_98,431,510,0.5419766206163655,177098,3147,27454,6371,0.6693633116200882,0.18835181079083518,0.04446209183911805
0.85,BRFC_Hard_Tomek_0_alpha_0_5_v1_Test_Transformed_95,438,516,0.5408805031446541,177115,3130,27469,6356,0.6700400590343665,0.18790835181079082,0.044312608025412245
0.59,BRFC_Hard_Tomek_0_alpha_balanced_v1_Train,2979,21,0.007,390096,30474,54,78872,0.7213066778848792,0.9993158148138763,0.218912663965277
0.59,BRFC_Hard_Tomek_0_alpha_balanced_v1_Train_Transformed_100,2979,21,0.007,390096,30474,54,78872,0.7213066778848792,0.9993158148138763,0.218912663965277
0.58,BRFC_Hard_Tomek_0_alpha_balanced_v1_Train_Transformed_98,2976,20,0.006675567423230975,390097,30473,54,78872,0.7213132744981481,0.9993158148138763,0.21891066194724282
0.58,BRFC_Hard_Tomek_0_alpha_balanced_v1_Train_Transformed_95,2960,21,0.007044615900704461,390121,30449,55,78871,0.7214690815953165,0.999303144717837,0.21886061149638836
0.81,BRFC_Hard_Tomek_0_alpha_balanced_v1_Test,398,509,0.5611907386990077,177228,3017,27785,6040,0.6668874903389643,0.1785661492978566,0.042308590647918906
0.81,BRFC_Hard_Tomek_0_alpha_balanced_v1_Test_Transformed_100,398,509,0.5611907386990077,177228,3017,27785,6040,0.6668874903389643,0.1785661492978566,0.042308590647918906
0.83,BRFC_Hard_Tomek_0_alpha_balanced_v1_Test_Transformed_98,400,508,0.5594713656387665,177231,3014,27786,6039,0.6670716889428918,0.17853658536585365,0.04228990517120568
0.86,BRFC_Hard_Tomek_0_alpha_balanced_v1_Test_Transformed_95,389,490,0.5574516496018203,177246,2999,27803,6022,0.6675534863097218,0.1780339985218034,0.04214042135749988
0.5,AdaBoost_Hard_Tomek_0_v1_Train,405633,70054,0.14726910762749454,413033,7537,70135,8791,0.5384002939735424,0.11138281428173226,0.03268895046206576
0.79,AdaBoost_Hard_Tomek_0_v1_Train_Transformed_100,171,255,0.5985915492957746,419803,767,77356,1570,0.6718014548566539,0.019892050781744927,0.004678716145875042
0.94,AdaBoost_Hard_Tomek_0_v1_Train_Transformed_98,122,178,0.5933333333333334,419758,812,77287,1639,0.6687066503467972,0.020766287408458557,0.004906946201771386
