Filename,n,nUnique,nUnique/n,95%,95%/n
KBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_v2_Test,214070,209900,0.9805,199196,0.9305
KBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_v2_Test_Transformed,214070,209146,0.9770,198442,0.9270
OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v2,214070,209617,0.9792,198913,0.9292
OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v2_Transformed,214070,206876,0.9664,196172,0.9164
OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v2,214070,209413,0.9782,198709,0.9282
OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v2_Transformed,214070,206295,0.9637,195591,0.9137
OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v2,214070,209385,0.9781,198681,0.9281
OBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v2_Transformed,214070,205781,0.9613,195077,0.9113
LRC_Medium_Tomek_0_alpha_0_5_v2_Train,499496,389584,0.7800,364609,0.7300
LRC_Medium_Tomek_0_alpha_0_5_v2_Train_Transformed,499496,386263,0.7733,361288,0.7233
LRC_Medium_Tomek_0_alpha_0_5_v2_Test,214070,189365,0.8846,178661,0.8346
LRC_Medium_Tomek_0_alpha_0_5_v2_Test_Transformed,214070,187812,0.8773,177108,0.8273
LRC_Medium_Tomek_0_alpha_balanced_v2_Train,499496,389584,0.7800,364609,0.7300
LRC_Medium_Tomek_0_alpha_balanced_v2_Train_Transformed,499496,383947,0.7687,358972,0.7187
LRC_Medium_Tomek_0_alpha_balanced_v2_Test,214070,189365,0.8846,178661,0.8346
LRC_Medium_Tomek_0_alpha_balanced_v2_Test_Transformed,214070,186562,0.8715,175858,0.8215
BRFC_Medium_Tomek_0_alpha_0_5_v2_Train,499496,23289,0.0466,9374,0.0188
BRFC_Medium_Tomek_0_alpha_0_5_v2_Train_Transformed,499496,22989,0.0460,9160,0.0183
BRFC_Medium_Tomek_0_alpha_0_5_v2_Test,214070,17018,0.0795,7880,0.0368
BRFC_Medium_Tomek_0_alpha_0_5_v2_Test_Transformed,214070,16283,0.0761,7324,0.0342
BRFC_Medium_Tomek_0_alpha_balanced_v2_Train,499496,63742,0.1276,38767,0.0776
BRFC_Medium_Tomek_0_alpha_balanced_v2_Train_Transformed,499496,63452,0.1270,38477,0.0770
BRFC_Medium_Tomek_0_alpha_balanced_v2_Test,214070,41053,0.1918,30349,0.1418
BRFC_Medium_Tomek_0_alpha_balanced_v2_Test_Transformed,214070,40653,0.1899,29949,0.1399
AdaBoost_Medium_Tomek_0_v2_Train,499496,371233,0.7432,346258,0.6932
AdaBoost_Medium_Tomek_0_v2_Train_Transformed,499496,364213,0.7292,339238,0.6792
AdaBoost_Medium_Tomek_0_v2_Test,214070,183381,0.8566,172677,0.8066
AdaBoost_Medium_Tomek_0_v2_Test_Transformed,214070,179854,0.8402,169150,0.7902
Bagging_Medium_Tomek_0_v2_Train,499496,1330,0.0027,67,0.0001
Bagging_Medium_Tomek_0_v2_Train_Transformed,499496,1313,0.0026,66,0.0001
Bagging_Medium_Tomek_0_v2_Test,214070,1138,0.0053,56,0.0003
Bagging_Medium_Tomek_0_v2_Test_Transformed,214070,1125,0.0053,56,0.0003
RUSBoost_Medium_Tomek_0_v2_Train,499496,389584,0.7800,364609,0.7300
RUSBoost_Medium_Tomek_0_v2_Train_Transformed,499496,379934,0.7606,354959,0.7106
RUSBoost_Medium_Tomek_0_v2_Test,214070,189365,0.8846,178661,0.8346
RUSBoost_Medium_Tomek_0_v2_Test_Transformed,214070,184844,0.8635,174140,0.8135
EEC_Medium_Tomek_0_v2_Train,499496,362,0.0007,116,0.0002
EEC_Medium_Tomek_0_v2_Train_Transformed,499496,334,0.0007,112,0.0002
EEC_Medium_Tomek_0_v2_Test,214070,352,0.0016,116,0.0005
EEC_Medium_Tomek_0_v2_Test_Transformed,214070,324,0.0015,113,0.0005
KBFC_Medium_Tomek_0_alpha_balanced_gamma_0_0_v2_Train,499496,384254,0.7693,359279,0.7193
KBFC_Medium_Tomek_0_alpha_balanced_gamma_0_0_v2_Train_Transformed,499496,377723,0.7562,352748,0.7062
KBFC_Medium_Tomek_0_alpha_balanced_gamma_0_0_v2_Test,214070,188151,0.8789,177447,0.8289
KBFC_Medium_Tomek_0_alpha_balanced_gamma_0_0_v2_Test_Transformed,214070,185291,0.8656,174587,0.8156
KBFC_Medium_Tomek_0_alpha_0_5_gamma_0_0_v2_Train,499496,383664,0.7681,358689,0.7181
KBFC_Medium_Tomek_0_alpha_0_5_gamma_0_0_v2_Train_Transformed,499496,381025,0.7628,356050,0.7128
KBFC_Medium_Tomek_0_alpha_0_5_gamma_0_0_v2_Test,214070,187889,0.8777,177185,0.8277
KBFC_Medium_Tomek_0_alpha_0_5_gamma_0_0_v2_Test_Transformed,214070,186529,0.8713,175825,0.8213
OBFC_Medium_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v2,214070,187505,0.8759,176801,0.8259
OBFC_Medium_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v2_Transformed,214070,184060,0.8598,173356,0.8098
OBFC_Medium_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v2,214070,187334,0.8751,176630,0.8251
OBFC_Medium_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v2_Transformed,214070,183802,0.8586,173098,0.8086
OBFC_Medium_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v2,214070,187236,0.8746,176532,0.8246
OBFC_Medium_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v2_Transformed,214070,183442,0.8569,172738,0.8069
LRC_Easy_Tomek_0_alpha_0_5_v2_Train,499496,40933,0.0819,25501,0.0511
LRC_Easy_Tomek_0_alpha_0_5_v2_Train_Transformed,499496,40084,0.0802,24844,0.0497
LRC_Easy_Tomek_0_alpha_0_5_v2_Test,214070,33234,0.1552,22795,0.1065
LRC_Easy_Tomek_0_alpha_0_5_v2_Test_Transformed,214070,32594,0.1523,22277,0.1041
LRC_Easy_Tomek_0_alpha_balanced_v2_Train,499496,40933,0.0819,25501,0.0511
LRC_Easy_Tomek_0_alpha_balanced_v2_Train_Transformed,499496,40100,0.0803,24845,0.0497
LRC_Easy_Tomek_0_alpha_balanced_v2_Test,214070,33234,0.1552,22795,0.1065
LRC_Easy_Tomek_0_alpha_balanced_v2_Test_Transformed,214070,32560,0.1521,22245,0.1039
BRFC_Easy_Tomek_0_alpha_0_5_v2_Train,499496,39254,0.0786,24554,0.0492
BRFC_Easy_Tomek_0_alpha_0_5_v2_Train_Transformed,499496,38993,0.0781,24315,0.0487
BRFC_Easy_Tomek_0_alpha_0_5_v2_Test,214070,32388,0.1513,22279,0.1041
BRFC_Easy_Tomek_0_alpha_0_5_v2_Test_Transformed,214070,31822,0.1487,21786,0.1018
BRFC_Easy_Tomek_0_alpha_balanced_v2_Train,499496,40583,0.0812,25212,0.0505
BRFC_Easy_Tomek_0_alpha_balanced_v2_Train_Transformed,499496,40402,0.0809,25032,0.0501
BRFC_Easy_Tomek_0_alpha_balanced_v2_Test,214070,33022,0.1543,22625,0.1057
BRFC_Easy_Tomek_0_alpha_balanced_v2_Test_Transformed,214070,32708,0.1528,22324,0.1043
AdaBoost_Easy_Tomek_0_v2_Train,499496,40933,0.0819,25501,0.0511
AdaBoost_Easy_Tomek_0_v2_Train_Transformed,499496,40007,0.0801,24771,0.0496
AdaBoost_Easy_Tomek_0_v2_Test,214070,33234,0.1552,22795,0.1065
AdaBoost_Easy_Tomek_0_v2_Test_Transformed,214070,32487,0.1518,22186,0.1036
Bagging_Easy_Tomek_0_v2_Train,499496,13668,0.0274,8754,0.0175
Bagging_Easy_Tomek_0_v2_Train_Transformed,499496,13635,0.0273,8729,0.0175
Bagging_Easy_Tomek_0_v2_Test,214070,12960,0.0605,8563,0.0400
Bagging_Easy_Tomek_0_v2_Test_Transformed,214070,12857,0.0601,8494,0.0397
RUSBoost_Easy_Tomek_0_v2_Train,499496,40933,0.0819,25501,0.0511
RUSBoost_Easy_Tomek_0_v2_Train_Transformed,499496,39406,0.0789,24377,0.0488
RUSBoost_Easy_Tomek_0_v2_Test,214070,33234,0.1552,22795,0.1065
RUSBoost_Easy_Tomek_0_v2_Test_Transformed,214070,32136,0.1501,21927,0.1024
EEC_Easy_Tomek_0_v2_Train,499496,80,0.0002,44,0.0001
EEC_Easy_Tomek_0_v2_Train_Transformed,499496,78,0.0002,43,0.0001
EEC_Easy_Tomek_0_v2_Test,214070,80,0.0004,44,0.0002
EEC_Easy_Tomek_0_v2_Test_Transformed,214070,78,0.0004,43,0.0002
KBFC_Easy_Tomek_0_alpha_balanced_gamma_0_0_v2_Train,499496,40845,0.0818,25441,0.0509
KBFC_Easy_Tomek_0_alpha_balanced_gamma_0_0_v2_Train_Transformed,499496,39757,0.0796,24601,0.0493
KBFC_Easy_Tomek_0_alpha_balanced_gamma_0_0_v2_Test,214070,33169,0.1549,22750,0.1063
KBFC_Easy_Tomek_0_alpha_balanced_gamma_0_0_v2_Test_Transformed,214070,32294,0.1509,22052,0.1030
KBFC_Easy_Tomek_0_alpha_0_5_gamma_0_0_v2_Train,499496,40854,0.0818,25444,0.0509
KBFC_Easy_Tomek_0_alpha_0_5_gamma_0_0_v2_Train_Transformed,499496,39851,0.0798,24666,0.0494
KBFC_Easy_Tomek_0_alpha_0_5_gamma_0_0_v2_Test,214070,33180,0.1550,22755,0.1063
KBFC_Easy_Tomek_0_alpha_0_5_gamma_0_0_v2_Test_Transformed,214070,32312,0.1509,22062,0.1031
OBFC_Easy_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v2,214070,33146,0.1548,22733,0.1062
OBFC_Easy_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v2_Transformed,214070,32142,0.1501,21936,0.1025
OBFC_Easy_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v2,214070,33146,0.1548,22734,0.1062
OBFC_Easy_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v2_Transformed,214070,32132,0.1501,21911,0.1024
OBFC_Easy_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v2,214070,33134,0.1548,22724,0.1062
OBFC_Easy_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v2_Transformed,214070,32043,0.1497,21860,0.1021
