Filename,n,nUnique,nUnique/n,95%,95%/n
KBFC_Hard_Tomek_1_alpha_balanced_gamma_0_0_v1_Train_Transformed,481645,460592,0.9563,436510,0.9063
KBFC_Hard_Tomek_1_alpha_balanced_gamma_0_0_v1_Test,214070,210165,0.9818,199461,0.9318
KBFC_Hard_Tomek_1_alpha_balanced_gamma_0_0_v1_Test_Transformed,214070,209497,0.9786,198793,0.9286
KBFC_Hard_Tomek_1_alpha_0_5_gamma_0_0_v1_Train,481645,461348,0.9579,437266,0.9079
KBFC_Hard_Tomek_1_alpha_0_5_gamma_0_0_v1_Train_Transformed,481645,459664,0.9544,435582,0.9044
KBFC_Hard_Tomek_1_alpha_0_5_gamma_0_0_v1_Test,214070,210021,0.9811,199317,0.9311
KBFC_Hard_Tomek_1_alpha_0_5_gamma_0_0_v1_Test_Transformed,214070,209268,0.9776,198564,0.9276
OBFC_Hard_Tomek_1_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v1,214070,209737,0.9798,199033,0.9298
OBFC_Hard_Tomek_1_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v1_Transformed,214070,206703,0.9656,195999,0.9156
OBFC_Hard_Tomek_1_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1,214070,209532,0.9788,198828,0.9288
OBFC_Hard_Tomek_1_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1_Transformed,214070,206366,0.9640,195662,0.9140
OBFC_Hard_Tomek_1_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1,214070,209485,0.9786,198781,0.9286
OBFC_Hard_Tomek_1_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1_Transformed,214070,205872,0.9617,195168,0.9117
LRC_Hard_Tomek_2_alpha_0_5_v1_Train,477981,463361,0.9694,439462,0.9194
LRC_Hard_Tomek_2_alpha_0_5_v1_Train_Transformed,477981,461210,0.9649,437311,0.9149
LRC_Hard_Tomek_2_alpha_0_5_v1_Test,214070,211195,0.9866,200491,0.9366
LRC_Hard_Tomek_2_alpha_0_5_v1_Test_Transformed,214070,210150,0.9817,199446,0.9317
LRC_Hard_Tomek_2_alpha_balanced_v1_Train,477981,463361,0.9694,439462,0.9194
LRC_Hard_Tomek_2_alpha_balanced_v1_Train_Transformed,477981,458552,0.9594,434653,0.9094
LRC_Hard_Tomek_2_alpha_balanced_v1_Test,214070,211195,0.9866,200491,0.9366
LRC_Hard_Tomek_2_alpha_balanced_v1_Test_Transformed,214070,208965,0.9762,198261,0.9262
BRFC_Hard_Tomek_2_alpha_0_5_v1_Train,477981,3187,0.0067,129,0.0003
BRFC_Hard_Tomek_2_alpha_0_5_v1_Train_Transformed,477981,3078,0.0064,126,0.0003
BRFC_Hard_Tomek_2_alpha_0_5_v1_Test,214070,2152,0.0101,154,0.0007
BRFC_Hard_Tomek_2_alpha_0_5_v1_Test_Transformed,214070,2073,0.0097,147,0.0007
BRFC_Hard_Tomek_2_alpha_balanced_v1_Train,477981,4271,0.0089,128,0.0003
BRFC_Hard_Tomek_2_alpha_balanced_v1_Train_Transformed,477981,4231,0.0089,125,0.0003
BRFC_Hard_Tomek_2_alpha_balanced_v1_Test,214070,2758,0.0129,152,0.0007
BRFC_Hard_Tomek_2_alpha_balanced_v1_Test_Transformed,214070,2712,0.0127,146,0.0007
AdaBoost_Hard_Tomek_2_v1_Train,477981,457251,0.9566,433352,0.9066
AdaBoost_Hard_Tomek_2_v1_Train_Transformed,477981,448702,0.9387,424803,0.8887
AdaBoost_Hard_Tomek_2_v1_Test,214070,209785,0.9800,199081,0.9300
AdaBoost_Hard_Tomek_2_v1_Test_Transformed,214070,205731,0.9610,195027,0.9110
Bagging_Hard_Tomek_2_v1_Train,477981,205,0.0004,10,0.0000
Bagging_Hard_Tomek_2_v1_Train_Transformed,477981,203,0.0004,10,0.0000
Bagging_Hard_Tomek_2_v1_Test,214070,153,0.0007,9,0.0000
Bagging_Hard_Tomek_2_v1_Test_Transformed,214070,152,0.0007,9,0.0000
RUSBoost_Hard_Tomek_2_v1_Train,477981,463309,0.9693,439410,0.9193
RUSBoost_Hard_Tomek_2_v1_Train_Transformed,477981,454490,0.9509,430591,0.9009
RUSBoost_Hard_Tomek_2_v1_Test,214070,211185,0.9865,200481,0.9365
RUSBoost_Hard_Tomek_2_v1_Test_Transformed,214070,207158,0.9677,196454,0.9177
EEC_Hard_Tomek_2_v1_Train,477981,1407,0.0029,445,0.0009
EEC_Hard_Tomek_2_v1_Train_Transformed,477981,1348,0.0028,425,0.0009
EEC_Hard_Tomek_2_v1_Test,214070,1296,0.0061,445,0.0021
EEC_Hard_Tomek_2_v1_Test_Transformed,214070,1247,0.0058,426,0.0020
KBFC_Hard_Tomek_2_alpha_balanced_gamma_0_0_v1_Train,477981,458465,0.9592,434566,0.9092
KBFC_Hard_Tomek_2_alpha_balanced_gamma_0_0_v1_Train_Transformed,477981,457592,0.9573,433693,0.9073
KBFC_Hard_Tomek_2_alpha_balanced_gamma_0_0_v1_Test,214070,210165,0.9818,199461,0.9318
KBFC_Hard_Tomek_2_alpha_balanced_gamma_0_0_v1_Test_Transformed,214070,209667,0.9794,198963,0.9294
KBFC_Hard_Tomek_2_alpha_0_5_gamma_0_0_v1_Train,477981,458114,0.9584,434215,0.9084
KBFC_Hard_Tomek_2_alpha_0_5_gamma_0_0_v1_Train_Transformed,477981,456389,0.9548,432490,0.9048
KBFC_Hard_Tomek_2_alpha_0_5_gamma_0_0_v1_Test,214070,210112,0.9815,199408,0.9315
KBFC_Hard_Tomek_2_alpha_0_5_gamma_0_0_v1_Test_Transformed,214070,209340,0.9779,198636,0.9279
OBFC_Hard_Tomek_2_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v1,214070,209694,0.9796,198990,0.9296
OBFC_Hard_Tomek_2_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v1_Transformed,214070,206944,0.9667,196240,0.9167
OBFC_Hard_Tomek_2_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1,214070,209520,0.9787,198816,0.9287
OBFC_Hard_Tomek_2_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1_Transformed,214070,206410,0.9642,195706,0.9142
OBFC_Hard_Tomek_2_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1,214070,209473,0.9785,198769,0.9285
OBFC_Hard_Tomek_2_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1_Transformed,214070,206183,0.9632,195479,0.9132
LRC_Medium_Tomek_0_alpha_0_5_v1_Train,499496,389834,0.7805,364859,0.7305
