,0
0.40396828850671035,17399
0.5552721183206677,15117
0.3290208134345626,11184
0.0,10951
0.32513731936475504,10902
0.39541349663531916,8850
0.16571397942029048,8161
0.4764195780565592,8079
0.4801152300274739,7349
0.09112291596409826,7229
0.5467145181234967,7197
0.5418458841728395,7042
0.3166867380894212,6959
0.19469548375790555,6339
0.3204660215631724,6228
0.25026449785833654,6210
0.3964532737484619,5931
0.6929785478706508,5886
0.5477563212495803,5323
0.47093813897714654,5109
0.08725472391675955,5032
0.3165911969240643,4913
0.4629885273796708,4722
0.31966061272193314,4536
0.4012525541210395,4531
0.012866902002392966,3905
0.6179430907618758,3690
0.32151283319108975,3684
0.23794405260143742,3610
0.3323289431898265,3523
0.47155676266968977,3465
1.0,3443
0.4678611398571208,3416
0.3457510107717811,3340
0.4668712806358607,3289
0.23247538897221298,3257
0.6142514998436646,3253
0.7724680355492847,3097
0.2417183754176458,3067
0.6938764915661871,3023
0.9094206185627025,3017
0.273373825763785,3006
0.26587242545913453,2927
0.08180898106806775,2920
0.12004022600637106,2893
0.24163136711003974,2879
0.4051364940482065,2763
0.2409140615673128,2735
0.38789848187707066,2729
0.18617474417747107,2695
0.15823202805487052,2652
0.3920771051103616,2636
0.8311708407747461,2569
0.5343295271443795,2548
0.5391305157745299,2477
0.4725978632672404,2468
0.46237979651802724,2411
0.31111510213177707,2396
0.27066216236213325,2386
0.3091793355899679,2328
0.42459474466871505,2316
0.5391987210524084,2310
0.08366135407814972,2234
0.6313573506478593,2214
0.6854757016430807,2152
0.2447947369125761,2117
0.3926980878527947,2102
0.38801343424422824,2009
0.6087758309539183,1995
0.4170787983458235,1906
0.31295804131969956,1859
0.16300886126244718,1831
0.1985731391986248,1803
0.4634208072992446,1796
0.5835612098981122,1767
0.4036494259994402,1717
0.11071791867026096,1685
0.48361677233977557,1682
0.1077580692956427,1680
0.3263068747269001,1635
0.11151948642593502,1633
0.0035789492895901675,1624
0.33720215585204366,1605
0.4111647211289152,1594
0.007437231326112045,1578
0.3121524299387709,1538
0.16688386988652687,1498
0.15387049158998853,1497
0.19108624154682644,1471
0.264836249869598,1471
0.4575070399306382,1464
0.39657802669042236,1377
0.7345897116774515,1363
0.4084488790479124,1358
0.6104315313618978,1323
0.25733484956494695,1297
0.7010551779277111,1290
0.23624922632242004,1268
0.03580904494389358,1248
0.764979549880248,1238
